SP_ID;AGEFLOW_MAX;AGEFLOW_MIN;APOM;CATTLE;CHANGE_TENDENCY_INDK;CLONAab;CLONAbel;CLONRATE;CNRATIO;C_Plant;DEER;DIASPTYPE;DICH;DISP;DISP_INDK;DISP_VITTOZ;DNA;ECOLOGICAL_GRP_INDK;ELLAER_INDK;ELLAER_INDK_VAR;ELLCONT;ELLCONT_INDK;ELLHUMUS_INDK;ELLHUMUS_INDK_VAR;ELLLITE;ELLMOIST;ELLMOIST_INDK;ELLMOIST_INDK_VAR;ELLMOISTVAR_INDK;ELLNIT;ELLNIT_INDK_VAR;ELLPH;ELLREAC_INDK;ELLREAC_INDK_VAR;ELLSALT;ELLSALT_INDK;ELLTEMP;ELLTEMP_INDK;ENDEM;FECUNDITY;FLONSET_END_INDK;FRUIT;GERMRATE;GERMREQ;GRAZ;GROWTHF;IMMIG_INVASIV_INDK;INFLO_DETAIL;INFLO_SIMPLE;L_ANAT;L_ANGLE;L_AREA;LATSPR;LCCp;LD13C;LD15N;LDMC;L_DRYM;Leaf_T_Strength;L_FORM;L_FRESHM;LIFESPAN;LKC;L_LONG;LNC;LPC;LPERST_INDK;L_THICK;MAX_AGE;MEDIC_POISON_FX_INDK;MOW;MOW_TOLERANCE_INDK;MYCORR;NATURAL;NBCHROM;N_Plant;NUTR;Palatability;PL_H_flora_MIN;PLOIDY;PL_REPR_H;PL_VEG_H;PL_VEG_H_max;POLL_2ND_INDK;POLL_MAIN_INDK;REPROD_INDK;REPSTRAT;ROOT_DEPTH_INDK;ROOTMET;ROSET;SEEDH;SEEDL;SEED_LONGEVITY_INDK;SEEDM;SEEDPROD;SEEDW;SLA;TAPROOT;WOODY
73;NA;NA;NA;NA;<;NA;NA;NA;NA;NA;NA;NA;NA;NA;anthropochory_epichory;NA;NA;NA;2;small_variation_(I);NA;2;2;small_variation_(I);NA;NA;3;small_variation_(I);1;NA;small_variation_(I);NA;3;large_variation_(II);NA;salt_tolerant;NA;4.5;NA;NA;October;NA;NA;NA;NA;NA;neophytes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;decidous;NA;NA;edible;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;unisexual_and_monoecious;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
77;NA;NA;NA;NA;=;NA;NA;NA;NA;NA;NA;NA;NA;NA;anthropochory_epichory;NA;NA;weeds_and_ruderal_plants;2;small_variation_(I);NA;1;2;small_variation_(I);NA;NA;2.5;small_variation_(I);1;NA;small_variation_(I);NA;4;large_variation_(II);NA;NA;NA;5;NA;NA;September;NA;NA;NA;NA;NA;neophytes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;decidous;NA;NA;edible;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;anemogamous;unisexual_and_monoecious;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
80;NA;NA;NA;NA;<;NA;NA;NA;NA;NA;NA;NA;NA;NA;anthropochory_epichory;NA;NA;NA;2;small_variation_(I);NA;4;2;small_variation_(I);NA;NA;2.5;small_variation_(I);1;NA;small_variation_(I);NA;3;large_variation_(II);NA;salt_tolerant;NA;4.5;NA;NA;October;NA;NA;NA;NA;NA;neophytes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;decidous;NA;NA;edible;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;unisexual_and_monoecious;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
81;NA;NA;NA;NA;=;NA;NA;NA;NA;NA;NA;NA;protogynous;Unassisted_dispersal;anthropochory_epichory;7;1.1;weeds_and_ruderal_plants;2;small_variation_(I);NA;2;2;small_variation_(I);8;NA;2.5;small_variation_(I);1;NA;small_variation_(I);NA;4;large_variation_(II);NA;NA;NA;4.5;NA;NA;September;Pyxid;NA;NA;NA;NA;young_species_(neophytes);spike-like_panicle;panicle;mesomorphic;NA;NA;NA;NA;NA;NA;NA;NA;NA;simple;NA;annual;NA;summer_green;NA;NA;decidous;NA;NA;edible;NA;NA;NA;Exogenous;16.5;NA;Chlorophyllian;NA;40;diploid;NA;60;80;NA;NA;unisexual_and_monoecious;NA;NA;NA;Erosulate_plant;NA;1;NA;NA;NA;1;NA;NA;Herbaceous
83;NA;NA;NA;NA;<;NA;NA;NA;NA;NA;NA;germinule;protogynous;Unassisted_dispersal;anthropochory_epichory;7;NA;weeds_and_ruderal_plants;2;small_variation_(I);NA;2;2;small_variation_(I);7;4;2.5;small_variation_(I);1;7;small_variation_(I);7;3;small_variation_(I);NA;salt_tolerant;9;5;NA;NA;September;Pyxid;NA;NA;NA;NA;neophytes;spike-like_panicle;panicle;mesomorphic;NA;NA;NA;NA;NA;NA;NA;NA;NA;simple;NA;annual;NA;summer_green;NA;NA;decidous;NA;NA;edible;NA;NA;NA;Exogenous;17;NA;Chlorophyllian;NA;20;diploid;30;30;40;NA;anemogamous;unisexual_and_monoecious;NA;NA;NA;Erosulate_plant;0.5;1.05;NA;0.31;NA;0.625;NA;NA;Herbaceous
85;NA;NA;NA;NA;<;NA;NA;NA;NA;NA;NA;NA;NA;NA;anthropochory_epichory;NA;NA;weeds_and_ruderal_plants;2;small_variation_(I);NA;3;2;small_variation_(I);NA;NA;1.5;small_variation_(I);1;NA;small_variation_(I);NA;3;small_variation_(I);NA;NA;NA;5;NA;NA;September;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;decidous;NA;NA;edible;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;anemogamous;unisexual_and_monoecious;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
87;NA;NA;NA;NA;<;NA;NA;NA;NA;NA;NA;NA;NA;Unassisted_dispersal;anthropochory_epichory;7;NA;weeds_and_ruderal_plants;2;small_variation_(I);NA;2;2;small_variation_(I);8;3;2.5;small_variation_(I);1;8;small_variation_(I);9;3;small_variation_(I);NA;salt_tolerant;9;5;NA;NA;September;Pyxid;NA;NA;NA;NA;neophytes;spike-like_panicle;panicle;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;decidous;NA;NA;edible;NA;NA;NA;Exogenous;NA;NA;Chlorophyllian;NA;30;NA;NA;40;50;NA;anemogamous;unisexual_and_monoecious;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Herbaceous
88;NA;NA;NA;NA;<_=;NA;NA;NA;NA;NA;NA;NA;NA;Unassisted_dispersal;anthropochory_epichory;7;0.7;weeds_and_ruderal_plants;2;small_variation_(I);NA;2;2;small_variation_(I);8;NA;2.5;large_variation_(II);1;NA;small_variation_(I);NA;4;large_variation_(II);NA;NA;NA;4.5;NA;NA;October_September;Pyxid;NA;NA;NA;NA;young_species_(archaeophytes)_young_species_(neophytes);spike-like_panicle;panicle;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;decidous;NA;NA;edible;NA;NA;NA;Exogenous;NA;NA;Chlorophyllian;NA;40;NA;60;57.5;80;NA;NA;unisexual_and_monoecious;NA;NA;NA;NA;NA;1.1;NA;0.54;NA;1.08;NA;NA;Herbaceous
91;NA;NA;NA;NA;=;NA;NA;NA;NA;NA;NA;NA;NA;NA;anthropochory_epichory;NA;NA;weeds_and_ruderal_plants;2;small_variation_(I);NA;2;2;small_variation_(I);NA;NA;2.5;small_variation_(I);1;NA;small_variation_(I);NA;4;large_variation_(II);NA;NA;NA;4.5;NA;NA;September;NA;NA;NA;NA;NA;young_species_(neophytes);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;decidous;NA;NA;edible;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;unisexual_and_monoecious;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
93;NA;NA;NA;NA;<;NA;NA;NA;NA;NA;NA;NA;NA;NA;anthropochory_epichory;NA;NA;NA;2;small_variation_(I);NA;2;2;small_variation_(I);NA;NA;2.5;large_variation_(II);2;NA;small_variation_(I);NA;4;large_variation_(II);NA;salt_tolerant;NA;4.5;NA;NA;September;NA;NA;NA;NA;NA;neophytes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;decidous;NA;NA;edible;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;unisexual_and_monoecious;NA;3;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA
98;NA;NA;NA;NA;<;NA;NA;NA;NA;NA;NA;NA;NA;NA;epichory;NA;NA;NA;3;small_variation_(I);NA;4;1;small_variation_(I);NA;NA;2;small_variation_(I);3;NA;small_variation_(I);NA;3;small_variation_(I);NA;NA;NA;5;NA;NA;October;NA;NA;NA;NA;NA;neophytes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;decidous;NA;NA;edible;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;unisexual_and_dioecious;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
104;NA;NA;NA;NA;<;NA;NA;NA;NA;NA;NA;germinule_one-seeded_generative_dispersule;protogynous;Unassisted_dispersal;endochory_epichory;7;1.3;weeds_and_ruderal_plants;1;large_variation_(II);6;3;2;small_variation_(I);8;4;2.5;large_variation_(II);2;7;large_variation_(II);7;3;large_variation_(II);0;salt_tolerant;7;4;NA;NA;September;Pyxid;NA;NA;NA;NA;neophytes;spike-like_panicle;panicle;mesomorphic;NA;9.9375;NA;NA;NA;NA;219.19;0.03447;NA;full;0.130335;annual;NA;summer_green;NA;NA;decidous;NA;NA;edible;NA;NA;NA;Exogenous;16.5;NA;Chlorophyllian;NA;40;diploid;60.25;57;90;entomogamous;anemogamous;unisexual_and_monoecious;NA;3.5;NA;Erosulate_plant;0.71;1.18;4;0.4115;NA;1.04;16.96;NA;Herbaceous
108;NA;NA;NA;NA;<;NA;NA;NA;NA;NA;NA;NA;NA;NA;epichory;NA;NA;NA;2;small_variation_(I);NA;2;2;small_variation_(I);NA;NA;2;small_variation_(I);2;NA;small_variation_(I);NA;3;small_variation_(I);NA;NA;NA;5;NA;NA;October;NA;NA;NA;NA;NA;neophytes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;decidous;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;unisexual_and_monoecious;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
109;NA;NA;NA;NA;<;NA;NA;NA;NA;NA;NA;NA;NA;NA;anthropochory_epichory;NA;NA;NA;2;small_variation_(I);NA;2;2;small_variation_(I);NA;NA;2;small_variation_(I);1;NA;small_variation_(I);NA;3;small_variation_(I);NA;NA;NA;5;NA;NA;October;NA;NA;NA;NA;NA;neophytes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;decidous;NA;NA;edible;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;unisexual_and_monoecious;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
111;NA;NA;NA;NA;<;NA;NA;NA;NA;NA;NA;NA;NA;NA;anthropochory_epichory;NA;NA;NA;2;small_variation_(I);NA;2;2;small_variation_(I);NA;NA;2;small_variation_(I);1;NA;small_variation_(I);NA;4;small_variation_(I);NA;NA;NA;5;NA;NA;October;NA;NA;NA;NA;NA;neophytes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;decidous;NA;NA;edible;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;unisexual_and_monoecious;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
118;NA;NA;NA;NA;>;NA;NA;NA;NA;NA;NA;generative_dispersule;NA;Endozoochory;dysochory_meteorochory;6;9.35;forest_plants;2;small_variation_(I);4;3;2;small_variation_(I);7;3;1.5;small_variation_(I);1;3;small_variation_(I);7;4;small_variation_(I);NA;NA;8;4.5;NA;NA;June;Drupe;NA;NA;NA;NA;presumably_indigenous_in_some_areas_of_the_study_region_and_widely_spread_later_but_after_1500_AD;raceme_of_racemes;raceme;mesomorphic;NA;44.2;NA;459.7839737;NA;NA;397.1916604;0.199305;NA;pinnate;0.513465;pluriennial;NA;summer_green;19.4408381;NA;decidous;NA;NA;poisonous_for_individual_animal_species;NA;NA;NA;Indigenous;15;NA;Chlorophyllian;NA;40;diploid;200;190;250;NA;entomogamous;polysexual;NA;NA;NA;Erosulate_plant;1.45;4.625;NA;9.245;NA;2.75;20.87440013;NA;Frutescent
120;NA;NA;NA;NA;=;NA;NA;NA;NA;NA;NA;NA;NA;NA;endochory;NA;NA;NA;2;small_variation_(I);NA;3;2;small_variation_(I);NA;NA;1;small_variation_(I);1;NA;small_variation_(I);NA;3;large_variation_(II);NA;salt_dependant;NA;5;NA;NA;June;NA;NA;NA;NA;NA;idiochorophytes_or_indigenes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;evergreen;NA;12;medicinal;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;unisexual_and_dioecious;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
