Sp;BL;AbdoL;AbdoW;CephalW;FangLl;FangLr;TibiaLl;TibiaLr;Asymmetry;Pilosity
sp84;2.085;1.24;0.94;0.655;0.1;0.095;1.335;1.33;0.00195;0.5
sp85;3.24;1.94;1.11;1.07;0.17;0.17;0.95;0.98;0.0092;1
sp86;1.705;0.875;1.375;0.87;0.1;0.1;0.35;0.335;0.00635;1
sp87;3.39;2.01;1.27;1.06;0.22;0.23;1.39;1.37;0.0035;1
sp88;5.27;3.445;1.89;1.835;0.235;0.23;2.195;2.195;0.0134;1.15
sp89;4.08;2.36;2.25;1.59;0.16;0.17;1.2;1.18;0.0039;1
sp91;3.56;2.03;0.8;1.13;0.17;0.17;1.31;1.34;0.0157;1
sp92;3.64;2.25;1.2;1.57;0.19;0.17;2.08;2.05;0.0071;1
sp93;1.85;1.12;1.23;0.61;0.09;0.09;0.45;0.45;0.005;3
sp94;1.37;0.6;0.76;0.58;0.11;0.11;0.36;0.37;0.0044;1
sp96;2.23;1.385;1.11;0.94;0.19;0.19;0.555;0.555;0.0026;1
sp97;3.26;1.74;1.66;1.24;0.12;0.13;1.6;1.5;0.0335;2
