Species;Coloniality;Corallite.width.maximum;Colony.maximum.diameter;Depth.lower;Depth.upper;Growth.form.typical;Wave.exposure.preference;Water.clarity.preference;Substrate.attachment;Skeletal.density;Sexual.system;Mode.of.larval.development;Growth.rate
Acropora_gemmifera;colonial;1.6;NA;16;1;digitate;broad;clear;attached;NA;hermaphrodite;spawner;NA
Acropora_glauca;colonial;1.3;NA;20;3;tables_or_plates;protected;both;attached;1.46;hermaphrodite;spawner;NA
Acropora_globiceps;colonial;2.1;NA;14;0.5;digitate;exposed;clear;attached;NA;hermaphrodite;NA;NA
Acropora_gomezi;colonial;NA;NA;NA;NA;branching_open;exposed;clear;attached;NA;NA;NA;0.08375
Acropora_grandis;colonial;1.7;450;23.5;5;branching_open;broad;clear;attached;NA;hermaphrodite;spawner;NA
Acropora_granulosa;colonial;0.9;75;47;20;tables_or_plates;broad;clear;attached;NA;hermaphrodite;spawner;NA
Acropora_haimei;colonial;NA;NA;14;0.5;branching_closed;broad;clear;attached;NA;hermaphrodite;spawner;NA
Acropora_halmaherae;colonial;0.9;NA;22.5;10;NA;protected;both;attached;NA;NA;NA;NA
Acropora_hemprichii;colonial;1.2;200;15;2;branching_open;broad;clear;attached;NA;hermaphrodite;spawner;4.3
Acropora_hoeksemai;colonial;1.1;333.333333333333;21;4.5;branching_open;broad;clear;attached;NA;NA;NA;NA
Acropora_horrida;colonial;1.5;200;26.75;6.5;branching_closed;protected;turbid;attached;0.86;hermaphrodite;spawner;NA
Acropora_humilis;colonial;1.8;NA;12.8;1.4;digitate;exposed;clear;attached;1.44538461538462;hermaphrodite;spawner;22
Acropora_hyacinthus;colonial;1.1;300;20;2;tables_or_plates;exposed;clear;attached;1.28;hermaphrodite;spawner;80.6333333333333
Acropora_indonesia;colonial;1;100;23;5.5;branching_open;protected;clear;attached;NA;NA;NA;NA
Acropora_inermis;colonial;NA;NA;25;0.75;branching_closed;protected;turbid;attached;NA;NA;NA;NA
Acropora_insignis;colonial;NA;NA;30;0.75;branching_closed;broad;clear;attached;NA;NA;NA;NA
Acropora_intermedia;colonial;1.5;500;18.75;1.75;branching_open;broad;clear;attached;NA;hermaphrodite;spawner;NA
Acropora_irregularis;colonial;NA;300;15;1;branching_open;exposed;clear;attached;NA;NA;NA;NA
Acropora_jacquelineae;colonial;0.5;86.6666666666667;35.5;10;tables_or_plates;protected;clear;attached;NA;NA;NA;NA
Acropora_japonica;colonial;0.9;NA;8;1;tables_or_plates;exposed;clear;attached;NA;NA;spawner;NA
Acropora_kimbeensis;colonial;0.6;NA;31.6666666666667;2;branching_closed;broad;clear;attached;NA;NA;NA;NA
