genus.species;Loo;K;Winfinity;tmax;tm;Lm;Temperature;length_at_mat;age_at_mat;BodyshapeI;BodyshapeII;Age_max;therm_pref;hermaphr;fecondation;movement;form;TL.1;SL;FL;HL;PAL;PDL;PPL;PPEL;ED;POL;BD;CH;CA;SnoutTipX;SnoutTipY;CaudalOriginX;CaudalOriginY;DorsalOriginX;DorsalOriginY;AnalOriginX;AnalOriginY;EyeFrontX;EyeFrontY;EyeEndX;EyeEndY;OpercleEndX;OpercleEndY;MaxDepthDorsalX;MaxDepthDorsalY;MaxDepthVentralX;MaxDepthVentralY;PectoralOriginX;PectoralOriginY;PelvicOriginX;PelvicOriginY;FLEndX;FLEndY;CaudalUpperX;CaudalUpperY;CaudalLowerX;CaudalLowerY;AspectRatio;habitat;feeding.mode;tl;fin.shape;AR;offspring.size;spawning.type
Amblyraja_doellojuradoi;93.44432328;0.123430041;3712.1428;17.1511316;8.148797921;56.9675265;12.97565325;NA;NA;NA;NA;NA;NA;dioecism;internal (oviduct);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Amblyraja_frerichsi;93.44432328;0.123430041;3712.1428;17.1511316;8.148797921;56.9675265;12.97565325;NA;NA;NA;NA;NA;NA;dioecism;internal (oviduct);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Amblyraja_georgiana;93.44432328;0.123430041;3712.1428;17.1511316;8.148797921;56.9675265;12.97565325;NA;NA;NA;NA;NA;NA;dioecism;internal (oviduct);undulation of median or pectoral fins;rajiform;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Amblyraja_hyperborea;93.44432328;0.123430041;3712.1428;17.1511316;8.148797921;56.9675265;12.97565325;NA;NA;other;NA;NA;NA;dioecism;internal (oviduct);undulation of median or pectoral fins;rajiform;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;bathydemersal;benthivorous;4.31;pointed;NA;102.5;non-guarder
Amblyraja_jenseni;93.44432328;0.123430041;3712.1428;17.1511316;8.148797921;56.9675265;12.97565325;NA;NA;other;NA;NA;NA;dioecism;internal (oviduct);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;bathydemersal;generalist;3.62;pointed;NA;104.17;non-guarder
Amblyraja_radiata;86.77597763;0.112411478;2984.378946;17.61038187;8.158255864;50.75664559;12.22479557;65;6.98;other;NA;19;12;dioecism;internal (oviduct);undulation of median or pectoral fins;rajiform;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;demersal;generalist;4.2;pointed;NA;110;non-guarder
Amblyraja_reversa;93.44432328;0.123430041;3712.1428;17.1511316;8.148797921;56.9675265;12.97565325;NA;NA;NA;NA;NA;NA;dioecism;internal (oviduct);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Amblyraja_robertsi;93.44432328;0.123430041;3712.1428;17.1511316;8.148797921;56.9675265;12.97565325;NA;NA;other;NA;NA;NA;dioecism;internal (oviduct);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Amblyraja_taaf;93.44432328;0.123430041;3712.1428;17.1511316;8.148797921;56.9675265;12.97565325;NA;NA;NA;NA;NA;NA;dioecism;internal (oviduct);undulation of median or pectoral fins;rajiform;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Anacanthobatis_americanus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;576;478;576;146;358;365;0;153;28;25;174;109;7295;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.62865;NA;NA;NA;NA;NA;NA;NA
