Genus_Species;Genus;Species;comname;sciname;Anaerobic;Browsable;Calcerous;Coarse_Soil;Cold_Strat_Reqd;Fine_Soil;Fire_Tolerance;FrostFree_Days;Grazable;Height20yrs;HeightMax;max_pH;max_Precip;MediumSoil;min_pH;min_Precip;min_Temp;NitrFix;growthHabit;
Koelreuteria_paniculata;Koelreuteria;paniculata;goldenrain tree;Koelreuteria paniculata Laxm.;0;NA;2;1;1;1;1;110;NA;9.1441111923921;13.7161667885881;8;127;1;4.5;66.04;-33.3333333333333;0;Tree;
Krameria_erecta;Krameria;erecta;littleleaf ratany;Krameria erecta Willd. ex J.A. Schultes;0;3;3;1;0;0;2;250;2;0.30480370641307;0.60960741282614;8.5;30.48;1;7;10.16;-25;0;Subshrub;
Krascheninnikovia_lanata;Krascheninnikovia;lanata;winterfat;Krascheninnikovia lanata (Pursh) A.D.J. Meeuse & Smit;0;3;3;0;1;1;3;150;2;0.60960741282614;0.60960741282614;8.3;40.64;1;6.6;20.32;-36.1111111111111;0;Subshrub;
Kummerowia_stipulacea;Kummerowia;stipulacea;Korean clover;Kummerowia stipulacea (Maxim.) Makino;1;1;1;1;0;1;2;160;3;NA;0.457205559619605;7.5;165.1;1;5.5;76.2;-14.4444444444444;NA;Forb/herb;
Kummerowia_striata;Kummerowia;striata;Japanese clover;Kummerowia striata (Thunb.) Schindl.;1;1;1;1;0;1;2;160;3;NA;0.396244818336991;7.3;165.1;1;4.9;76.2;-13.3333333333333;NA;Forb/herb;
Lablab_purpureus;Lablab;purpureus;hyacinthbean;Lablab purpureus (L.) Sweet;1;3;2;1;0;1;2;300;3;NA;1.21921482565228;7.8;248.92;1;4.5;60.96;-0.555555555555556;NA;Vine;
Lachnanthes_caroliana;Lachnanthes;caroliana;Carolina redroot;Lachnanthes caroliana (Lam.) Dandy;3;1;1;1;0;1;3;200;1;NA;0.91441111923921;6.5;139.7;1;4;76.2;-10.5555555555556;0;Forb/herb;
Lagerstroemia_indica;Lagerstroemia;indica;crapemyrtle;Lagerstroemia indica L.;0;1;2;1;0;0;NA;165;1;7.62009266032675;7.62009266032675;7.5;127;1;5;81.28;-19.4444444444444;0;Tree;
Larix_decidua;Larix;decidua;European larch;Larix decidua P. Mill.;0;1;0;1;0;0;0;90;1;6.0960741282614;30.1755669348939;7;203.2;1;6;76.2;-38.8888888888889;0;Tree;
Larix_kaempferi;Larix;kaempferi;Japanese larch;Larix kaempferi (Lam.) Carr.;0;1;0;1;0;0;0;180;1;6.0960741282614;29.8707632284809;7.5;203.2;1;6;63.5;-38.8888888888889;0;Tree;
Larix_laricina;Larix;laricina;tamarack;Larix laricina (Du Roi) K. Koch;1;1;1;1;1;0;0;73;1;6.0960741282614;24.3842965130456;6.5;139.7;1;5.5;17.78;-61.6666666666667;0;Tree;
Larix_lyallii;Larix;lyallii;subalpine larch;Larix lyallii Parl.;0;2;0;1;0;0;1;90;NA;4.57205559619605;12.1921482565228;5.6;241.3;1;3.9;66.04;-50;0;Tree;
Larix_occidentalis;Larix;occidentalis;western larch;Larix occidentalis Nutt.;0;1;1;1;1;0;1;60;1;12.1921482565228;60.960741282614;7;127;1;6;33.02;-41.6666666666667;0;Tree;
Larrea_tridentata;Larrea;tridentata;creosote bush;Larrea tridentata (Sessé & Moc. ex DC.) Coville var. arenaria L. Benson;0;1;3;1;0;1;0;160;1;1.52401853206535;3.0480370641307;8.5;88.9;1;7;10.16;-30.5555555555556;0;Shrub;
Lathyrus_hirsutus;Lathyrus;hirsutus;Caley pea;Lathyrus hirsutus L.;0;3;1;1;1;1;0;120;3;NA;0.91441111923921;6.2;152.4;1;5.8;88.9;-8.33333333333333;3;Vine;
Lathyrus_japonicus;Lathyrus;japonicus;beach pea;Lathyrus japonicus Willd.;0;1;3;1;0;0;3;190;1;NA;0.457205559619605;7.5;152.4;1;6;76.2;-36.1111111111111;NA;Vine;
Lathyrus_latifolius;Lathyrus;latifolius;perennial pea;Lathyrus latifolius L.;0;1;3;1;0;0;2;140;1;NA;0.60960741282614;7.5;152.4;1;5.8;66.04;-38.8888888888889;NA;Vine;
Lathyrus_littoralis;Lathyrus;littoralis;silky beach pea;Lathyrus littoralis (Nutt.) Endl.;0;NA;3;1;0;0;3;180;NA;NA;0.487685930260912;7.8;152.4;1;5.8;76.2;-13.8888888888889;NA;Vine;
Lathyrus_polyphyllus;Lathyrus;polyphyllus;leafy pea;Lathyrus polyphyllus Nutt.;0;NA;3;1;0;0;3;175;NA;NA;0.822970007315289;8;152.4;1;5.9;55.88;-16.6666666666667;NA;Vine;
Lathyrus_sylvestris;Lathyrus;sylvestris;flat pea;Lathyrus sylvestris L.;0;3;3;1;0;1;3;140;2;NA;0.670568154108754;7.8;139.7;1;5;76.2;-38.8888888888889;3;Vine;
Lathyrus_tuberosus;Lathyrus;tuberosus;tuberous sweetpea;Lathyrus tuberosus L.;0;1;2;1;0;0;3;100;1;NA;0.457205559619605;7.6;139.7;1;4.8;91.44;-33.3333333333333;NA;Vine;
Lavatera_assurgentiflora;Lavatera;assurgentiflora;island mallow;Lavatera assurgentiflora Kellogg;0;1;1;1;0;0;1;365;1;1.52401853206535;3.65764447695684;7.5;60.96;1;6.8;22.86;-0.555555555555556;0;Subshrub;
Ledum_glandulosum;Ledum;glandulosum;western Labrador tea;Ledum glandulosum Nutt.;2;NA;2;0;1;1;2;120;NA;1.21921482565228;1.37161667885881;7;127;1;4.6;35.56;-33.3333333333333;0;Shrub;
Ledum_groenlandicum;Ledum;groenlandicum;bog Labrador tea;Ledum groenlandicum Oeder;3;NA;1;0;0;1;2;95;1;0.60960741282614;0.91441111923921;7;127;1;5;30.48;-36.1111111111111;0;Shrub;
Leersia_lenticularis;Leersia;lenticularis;catchfly grass;Leersia lenticularis Michx.;3;NA;2;1;0;1;2;200;3;NA;0.792489636673982;8;152.4;1;5;63.5;-36.1111111111111;0;Graminoid;
Leersia_oryzoides;Leersia;oryzoides;rice cutgrass;Leersia oryzoides (L.) Sw.;2;NA;2;1;0;1;3;110;3;NA;1.49353816142404;8.8;127;1;5.1;30.48;-36.1111111111111;0;Graminoid;
Leersia_virginica;Leersia;virginica;whitegrass;Leersia virginica Willd.;2;3;2;1;0;0;0;120;3;NA;1.18873445501097;8.5;165.1;1;4.5;38.1;-41.6666666666667;0;Graminoid;
Lemna_minor;Lemna;minor;common duckweed;Lemna minor L.;3;NA;2;0;0;0;NA;100;NA;NA;0;7.1;0;0;4.1;0;-38.8888888888889;0;Forb/herb;
Lemna_trisulca;Lemna;trisulca;star duckweed;Lemna trisulca L.;3;NA;1;0;0;0;3;145;2;NA;0.091441111923921;7;0;0;5.7;0;-38.8888888888889;0;Forb/herb;
Lemna_valdiviana;Lemna;valdiviana;valdivia duckweed;Lemna valdiviana Phil.;3;NA;1;0;0;0;3;135;2;NA;0.030480370641307;7;0;0;5.7;0;-36.1111111111111;0;Forb/herb;
Lepidium_montanum;Lepidium;montanum;mountain pepperweed;Lepidium montanum Nutt.;0;NA;1;1;0;1;1;90;NA;NA;0.243842965130456;8;35.56;1;6;20.32;-36.1111111111111;0;Subshrub;
Leptochloa_dubia;Leptochloa;dubia;green sprangletop;Leptochloa dubia (Kunth) Nees;1;2;3;1;0;1;3;210;3;NA;0.91441111923921;8;60.96;1;6;30.48;-25;0;Graminoid;
Lespedeza_bicolor;Lespedeza;bicolor;shrub lespedeza;Lespedeza bicolor Turcz.;0;2;2;0;0;1;1;180;1;2.43842965130456;2.43842965130456;7.5;152.4;1;5.8;86.36;-19.4444444444444;NA;Subshrub;
Lespedeza_capitata;Lespedeza;capitata;roundhead lespedeza;Lespedeza capitata Michx.;0;2;2;1;0;0;3;140;1;NA;0.792489636673982;8.2;114.3;1;5.7;48.26;-33.3333333333333;NA;Forb/herb;
Lespedeza_cuneata;Lespedeza;cuneata;sericea lespedeza;Lespedeza cuneata (Dum.-Cours.) G. Don;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;<undefined>;
Lespedeza_hirta;Lespedeza;hirta;hairy lespedeza;Lespedeza hirta (L.) Hornem.;0;1;2;1;1;1;3;200;1;NA;1.82882223847842;6.9;152.4;1;5.8;76.2;-25;NA;Forb/herb;
Lespedeza_thunbergii;Lespedeza;thunbergii;Thunberg's lespedeza;Lespedeza thunbergii (DC.) Nakai;1;2;1;1;0;1;2;210;1;2.43842965130456;2.43842965130456;7.2;165.1;1;5.7;88.9;-19.4444444444444;NA;Subshrub;
Lespedeza_virgata;Lespedeza;virgata;wand lespedeza;Lespedeza virgata (Thunb.) DC.;0;2;0;1;0;1;0;120;2;NA;0.60960741282614;6.9;165.1;1;5;76.2;-19.4444444444444;NA;Forb/herb;
Leucaena_leucocephala;Leucaena;leucocephala;white leadtree;Leucaena leucocephala (Lam.) de Wit;1;3;2;1;0;1;0;365;3;4.57205559619605;6.0960741282614;8.7;203.2;1;5;38.1;-3.88888888888889;3;Tree;
