SpecName;accGenus;accSpecies;PalmTribe;PalmSubfamily;Climbing;Acaulescent;Erect;StemSolitary;StemArmed;LeavesArmed;MaxStemHeight_m;MaxStemDia_cm;UnderstoreyCanopy;MaxLeafNumber;Max_Blade_Length_m;Max_Rachis_Length_m;Max_Petiole_length_m;AverageFruitLength_cm;MinFruitLength_cm;MaxFruitLength_cm;AverageFruitWidth_cm;MinFruitWidth_cm;MaxFruitWidth_cm;FruitSizeCategorical;FruitShape;Conspicuousness
Acanthophoenix crinita;Acanthophoenix;crinita;Areceae;Arecoideae;0;0;1;1;1;1;10;20;canopy;15;2.3;NA;NA;0.65;0.6;0.7;0.5;NA;NA;small;NA;cryptic
Acanthophoenix rousselii;Acanthophoenix;rousselii;Areceae;Arecoideae;0;0;1;1;1;1;25;30;canopy;NA;3;NA;NA;2;NA;NA;0.8;NA;NA;small;ovoid;cryptic
Acanthophoenix rubra;Acanthophoenix;rubra;Areceae;Arecoideae;0;0;1;1;1;1;15;18;canopy;20;3.1;3;NA;1;NA;NA;0.7;NA;NA;small;ovoid;cryptic
Acoelorrhaphe wrightii;Acoelorrhaphe;wrightii;Trachycarpeae;Coryphoideae;0;0;1;0;0;1;9.1;15;canopy;25;1.3;0.7;0.65;0.7;NA;NA;0.7;0.5;0.9;small;ovoid;cryptic
Acrocomia aculeata;Acrocomia;aculeata;Cocoseae;Arecoideae;0;0;1;1;1;1;12;50;canopy;30;3.5;2.5;NA;4.25;3.5;5;4.6;3.8;5.4;large;ovoid;cryptic
Acrocomia crispa;Acrocomia;crispa;Cocoseae;Arecoideae;0;0;1;1;1;1;18;35;canopy;15;3;NA;0.65;2.5;NA;NA;1.8;NA;NA;small;globose;conspicuous
Acrocomia emensis;Acrocomia;emensis;Cocoseae;Arecoideae;0;1;0;1;1;1;0;NA;understorey;NA;NA;NA;NA;2;NA;NA;2;NA;NA;small;NA;NA
Acrocomia glaucescens;Acrocomia;glaucescens;Cocoseae;Arecoideae;0;0;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acrocomia hassleri;Acrocomia;hassleri;Cocoseae;Arecoideae;0;1;0;1;1;1;0;NA;understorey;6;0.9;0.54;0.51;2.25;1.5;3;2.25;1.5;3;small;NA;cryptic
Acrocomia intumescens;Acrocomia;intumescens;Cocoseae;Arecoideae;0;0;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;4.6;3.8;5.4;4.6;3.8;5.4;large;NA;cryptic
Acrocomia media;Acrocomia;media;Cocoseae;Arecoideae;0;0;1;1;1;1;15;30;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ovoid;cryptic
Acrocomia totai;Acrocomia;totai;Cocoseae;Arecoideae;0;0;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;3;2.5;3.5;3;2.5;3.5;small;NA;conspicuous
Actinokentia divaricata;Actinokentia;divaricata;Areceae;Arecoideae;0;0;1;1;0;0;9;9;canopy;7;2.35;2.1;1.3;2.6;1.8;3.4;1.1;0.8;1.4;small;globose;conspicuous
Actinokentia huerlimannii;Actinokentia;huerlimannii;Areceae;Arecoideae;0;0;1;1;0;0;9;36;canopy;10;1.2;NA;0.22;3;NA;NA;1.3;NA;NA;small;globose;NA
Actinorhytis calapparia;Actinorhytis;calapparia;Areceae;Arecoideae;0;0;1;1;0;0;40;30;canopy;13;4.76;4.3;0.51;10;NA;NA;5.5;5;6;large;ovoid;conspicuous
Adonidia maturbongsii;Adonidia;maturbongsii;Areceae;Arecoideae;0;0;1;1;0;0;NA;NA;NA;NA;NA;NA;NA;2.3;NA;NA;1;NA;NA;small;NA;conspicuous
Adonidia merrillii;Adonidia;merrillii;Areceae;Arecoideae;0;0;1;1;0;0;7;30;canopy;17;2.2;2;0.22;2.5;NA;NA;1.3;NA;NA;small;elongate;conspicuous
Aiphanes acanthophylla;Aiphanes;acanthophylla;Cocoseae;Arecoideae;0;0;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;1.4;NA;NA;1.4;NA;NA;small;NA;conspicuous
Aiphanes acaulis;Aiphanes;acaulis;Cocoseae;Arecoideae;0;1;0;1;0;1;0;NA;understorey;10;1.83;1.33;0.33;1;NA;NA;1;NA;NA;small;NA;conspicuous
Aiphanes bicornis;Aiphanes;bicornis;Cocoseae;Arecoideae;0;0;1;1;1;1;0.5;2.5;understorey;13;0.54;0.54;NA;0.6;NA;NA;0.8;NA;NA;small;ovoid;conspicuous
Aiphanes buenaventurae;Aiphanes;buenaventurae;Cocoseae;Arecoideae;0;0;1;2;NA;1;4;NA;understorey;8;0.22;0.78;0.25;NA;NA;NA;NA;NA;NA;NA;NA;NA
Aiphanes chiribogensis;Aiphanes;chiribogensis;Cocoseae;Arecoideae;0;0;1;1;1;1;3;6;understorey;9;1.45;1;0.5;1.1;NA;NA;1.1;1;1.2;small;globose;conspicuous
Aiphanes deltoidea;Aiphanes;deltoidea;Cocoseae;Arecoideae;0;0;1;2;1;1;2;6;understorey;12;2.95;1.9;1.1;1.3;NA;NA;0.7;NA;NA;small;globose;conspicuous
Aiphanes duquei;Aiphanes;duquei;Cocoseae;Arecoideae;0;0;1;1;1;1;5;5;understorey;9;1.35;1.1;0.28;1.05;0.9;1.2;NA;NA;NA;small;globose;conspicuous
Aiphanes eggersii;Aiphanes;eggersii;Cocoseae;Arecoideae;0;0;1;0;1;1;10;8;canopy;10;2.2;2.05;0.17;1.75;NA;NA;1.75;1.5;2;small;ovoid;conspicuous
Aiphanes erinacea;Aiphanes;erinacea;Cocoseae;Arecoideae;0;0;1;0;1;1;5;5;understorey;8;2.2;1.65;0.6;0.75;NA;NA;0.75;0.7;0.8;small;globose;conspicuous
Aiphanes gelatinosa;Aiphanes;gelatinosa;Cocoseae;Arecoideae;0;0;1;2;1;1;9;10;canopy;11;5.6;4;1.7;1.5;NA;NA;1.5;1;1.5;small;globose;cryptic
Aiphanes graminifolia;Aiphanes;graminifolia;Cocoseae;Arecoideae;0;0;1;0;1;1;5;2;understorey;6;0.89;0.89;NA;0.5;NA;NA;0.5;NA;NA;small;NA;NA
Aiphanes grandis;Aiphanes;grandis;Cocoseae;Arecoideae;0;0;1;1;1;1;21;20;canopy;10;5.5;2.5;2.75;2.15;NA;NA;2.15;2;3;small;elongate;cryptic
Aiphanes hirsuta;Aiphanes;hirsuta;Cocoseae;Arecoideae;0;0;1;0;1;1;10;10;canopy;8;2.94;1.94;NA;1.35;NA;NA;1.35;0.7;2;small;globose;conspicuous
Aiphanes horrida;Aiphanes;horrida;Cocoseae;Arecoideae;0;0;1;1;1;1;10;15;canopy;15;2;NA;NA;1.95;1.6;2.3;1.95;1.6;2.3;small;ovoid;conspicuous
Aiphanes leiostachys;Aiphanes;leiostachys;Cocoseae;Arecoideae;0;0;1;0;1;1;5;3;understorey;11;2.08;1.08;NA;NA;NA;NA;NA;NA;NA;NA;globose;NA
Aiphanes lindeniana;Aiphanes;lindeniana;Cocoseae;Arecoideae;0;0;1;2;1;1;7;10;canopy;10;1.31;0.75;0.61;1.5;NA;NA;1.5;1.4;1.6;small;NA;conspicuous
Aiphanes linearis;Aiphanes;linearis;Cocoseae;Arecoideae;0;0;1;0;1;1;12;12;canopy;9;2.73;2.39;0.49;4.5;NA;NA;2.65;1.8;3.5;large;globose;NA
Aiphanes macroloba;Aiphanes;macroloba;Cocoseae;Arecoideae;0;0;1;0;1;1;3;3;understorey;8;1.86;1.5;0.41;1;NA;NA;0.7;NA;NA;small;ovoid;conspicuous
Aiphanes minima;Aiphanes;minima;Cocoseae;Arecoideae;0;0;1;1;1;1;18;50;canopy;9;4.2;3;1.25;1.4;1.2;1.6;1.55;1.4;1.7;small;globose;conspicuous
Aiphanes multiplex;Aiphanes;multiplex;Cocoseae;Arecoideae;0;0;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;1.6;NA;NA;1.45;NA;NA;small;NA;conspicuous
Aiphanes parvifolia;Aiphanes;parvifolia;Cocoseae;Arecoideae;0;0;1;1;0;1;2;3;understorey;10;0.95;0.7;0.28;0.85;0.7;1;NA;NA;NA;small;NA;conspicuous
Aiphanes pilaris;Aiphanes;pilaris;Cocoseae;Arecoideae;0;0;1;1;1;1;7;15;canopy;10;NA;NA;NA;4.7;NA;NA;4.7;NA;NA;large;ovoid;cryptic
Aiphanes simplex;Aiphanes;simplex;Cocoseae;Arecoideae;0;0;1;0;1;1;4;2;understorey;9;0.96;0.7;0.29;0.9;NA;NA;0.9;0.8;1;small;ovoid;conspicuous
Aiphanes spicata;Aiphanes;spicata;Cocoseae;Arecoideae;0;1;0;1;0;1;0.3;2;understorey;12;1.05;0.8;0.25;1;NA;NA;0.9;NA;NA;small;NA;NA
Aiphanes stergiosii;Aiphanes;stergiosii;Cocoseae;Arecoideae;0;0;1;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ovoid;conspicuous
Aiphanes tricuspidata;Aiphanes;tricuspidata;Cocoseae;Arecoideae;0;0;1;1;1;1;4.5;6;understorey;10;1.38;1.2;0.2;0.75;NA;NA;0.75;0.6;1;small;NA;cryptic
Aiphanes ulei;Aiphanes;ulei;Cocoseae;Arecoideae;0;0;1;1;1;1;6;5;canopy;15;2.5;1.8;0.75;0.7;NA;NA;0.7;NA;1;small;NA;conspicuous
Aiphanes verrucosa;Aiphanes;verrucosa;Cocoseae;Arecoideae;0;0;1;0;1;1;8;5;canopy;5;1.3;1.15;0.17;2.25;NA;NA;2.25;2;2.5;small;globose;cryptic
Aiphanes weberbaueri;Aiphanes;weberbaueri;Cocoseae;Arecoideae;0;0;1;2;0;1;1.5;6;understorey;13;2;1.2;NA;0.85;NA;NA;0.85;0.7;1;small;ovoid;conspicuous
Allagoptera arenaria;Allagoptera;arenaria;Cocoseae;Arecoideae;0;1;0;2;0;0;0.2;15;understorey;15;1.8;NA;1;1.6;1.2;2;1.15;1;1.3;small;NA;cryptic
Allagoptera brevicalyx;Allagoptera;brevicalyx;Cocoseae;Arecoideae;0;1;0;2;0;0;2;NA;understorey;8;1.2;NA;0.34;1.75;1.5;2;1.25;1;1.5;small;ovoid;cryptic
Allagoptera campestris;Allagoptera;campestris;Cocoseae;Arecoideae;0;1;0;1;0;0;0.2;NA;understorey;10;0.97;0.66;0.34;1.35;1.2;1.5;0.6;0.5;0.7;small;globose;cryptic
Allagoptera caudescens;Allagoptera;caudescens;Cocoseae;Arecoideae;0;0;1;1;0;0;8;25;canopy;16;4;NA;0.61;4.25;4;4.5;3.25;3;3.5;large;ovoid;cryptic
Allagoptera leucocalyx;Allagoptera;leucocalyx;Cocoseae;Arecoideae;0;1;0;1;0;0;2;NA;understorey;30;2;1.3;0.75;2.65;2.3;3;1.75;1.5;2;small;ovoid;cryptic
Ammandra decasperma;Ammandra;decasperma;Phytelepheae;Ceroxyloideae;0;1;0;1;0;0;1.5;15;understorey;10;4.5;4;3.25;10;NA;NA;10;8;12;large;globose;cryptic
Aphandra natalia;Aphandra;natalia;Phytelepheae;Ceroxyloideae;0;0;1;1;0;0;11;30;canopy;36;6;5.4;1.6;4.75;NA;3.2;3.2;NA;NA;large;rounded;cryptic
Archontophoenix alexandrae;Archontophoenix;alexandrae;Areceae;Arecoideae;0;0;1;1;0;0;30;30;canopy;12;4.5;4;0.55;1.1;0.8;1.4;0.85;0.6;1.1;small;ovoid;conspicuous
Archontophoenix cunninghamiana;Archontophoenix;cunninghamiana;Areceae;Arecoideae;0;0;1;1;0;0;30;30;canopy;12;4.5;4;0.55;1.25;1;1.5;1.1;NA;1.5;small;ovoid;conspicuous
Archontophoenix maxima;Archontophoenix;maxima;Areceae;Arecoideae;0;0;1;1;0;0;22;30;canopy;11;5;3.4;1.7;1.25;1.1;1.4;0.9;0.7;1.1;small;globose;conspicuous
Archontophoenix myolensis;Archontophoenix;myolensis;Areceae;Arecoideae;0;0;1;1;0;0;20;30;canopy;12;4;3.8;0.22;1.7;1.3;2.1;1.1;1;1.2;small;globose;conspicuous
Archontophoenix purpurea;Archontophoenix;purpurea;Areceae;Arecoideae;0;0;1;1;0;0;25;45;canopy;15;6;4;2.1;2.3;2;2.6;2;1.8;2.2;small;globose;conspicuous
Archontophoenix tuckeri;Archontophoenix;tuckeri;Areceae;Arecoideae;0;0;1;1;0;0;20;26;canopy;12;3.15;1.75;1.45;2;1.5;2.5;1.25;1;1.5;small;ovoid;conspicuous
Areca abdulrahmanii;Areca;abdulrahmanii;Areceae;Arecoideae;0;1;0;1;0;0;2.5;1.3;understorey;NA;1;NA;NA;4;NA;NA;1.2;NA;NA;large;NA;NA
Areca ahmadii;Areca;ahmadii;Areceae;Arecoideae;0;1;0;1;0;0;0.08;2.5;understorey;NA;1;0.58;0.47;4.3;NA;NA;2;NA;NA;large;globose;cryptic
Areca andersonii;Areca;andersonii;Areceae;Arecoideae;0;1;0;1;0;0;2.5;1.3;understorey;NA;0.8;0.8;NA;2.1;NA;NA;0.7;NA;NA;small;ovoid;cryptic
Areca arundinacea;Areca;arundinacea;Areceae;Arecoideae;0;1;0;0;0;0;2.5;0.8;understorey;8;0.5;NA;NA;1.9;NA;NA;1.1;NA;NA;small;elongate;conspicuous
Areca bakeri;Areca;bakeri;Areceae;Arecoideae;0;0;1;NA;0;0;NA;NA;NA;NA;NA;NA;NA;6.26;6;6.5;1.4;1.3;1.45;large;NA;NA
Areca brachypoda;Areca;brachypoda;Areceae;Arecoideae;0;1;0;1;0;0;0.06;0.3;understorey;NA;1.15;NA;0.45;2.2;NA;NA;0.5;NA;NA;small;globose;NA
Areca caliso;Areca;caliso;Areceae;Arecoideae;0;0;1;1;0;0;6;12;canopy;6;2.15;NA;NA;3;NA;NA;1.6;NA;NA;small;globose;conspicuous
Areca camarinensis;Areca;camarinensis;Areceae;Arecoideae;0;0;1;1;0;0;3;9;understorey;NA;1.5;NA;NA;5;3.5;5.5;1.7;1.5;2.5;large;globose;conspicuous
Areca catechu;Areca;catechu;Areceae;Arecoideae;0;0;1;1;0;0;25;30;canopy;10;3.15;2.05;1.25;6.5;5;8;4.75;3.5;6;large;ovoid;conspicuous
Areca chaiana;Areca;chaiana;Areceae;Arecoideae;0;0;1;1;0;0;3;8;understorey;NA;1.15;NA;0.7;3;NA;NA;0.8;NA;NA;small;elongate;conspicuous
Areca churchii;Areca;churchii;Areceae;Arecoideae;0;0;1;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;cryptic
Areca concinna;Areca;concinna;Areceae;Arecoideae;0;0;1;0;0;0;5;6;understorey;8;2;1.5;0.18;3;NA;NA;1.2;NA;NA;small;ovoid;conspicuous
Areca congesta;Areca;congesta;Areceae;Arecoideae;0;0;1;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Areca costulata;Areca;costulata;Areceae;Arecoideae;0;0;1;1;0;0;5;NA;understorey;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;globose;NA
Areca dayung;Areca;dayung;Areceae;Arecoideae;0;0;1;0;0;0;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;globose;NA
Areca dransfieldii;Areca;dransfieldii;Areceae;Arecoideae;0;0;1;NA;0;0;NA;NA;NA;NA;NA;NA;NA;3.8;NA;NA;1;NA;NA;small;NA;NA
Areca furcata;Areca;furcata;Areceae;Arecoideae;0;0;1;0;0;0;2;2;understorey;NA;NA;NA;NA;1;NA;NA;0.4;NA;NA;small;ovoid;conspicuous
Areca gurita;Areca;gurita;Areceae;Arecoideae;0;0;1;NA;0;0;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;1;NA;NA;small;NA;NA
Areca hutchinsoniana;Areca;hutchinsoniana;Areceae;Arecoideae;0;0;1;1;0;0;3;3;understorey;NA;2;NA;NA;3;NA;NA;1.7;NA;NA;small;globose;conspicuous
Areca insignis;Areca;insignis;Areceae;Arecoideae;0;1;0;1;0;0;3.5;2.5;understorey;10;1.2;1.2;0;2.2;NA;NA;1;NA;NA;small;globose;conspicuous
Areca ipot;Areca;ipot;Areceae;Arecoideae;0;0;1;1;0;0;4;12.7;understorey;NA;2.4;2.4;NA;5;NA;NA;3;NA;NA;large;NA;conspicuous
Areca jugahpunya;Areca;jugahpunya;Areceae;Arecoideae;0;1;0;2;0;0;1.5;15;understorey;NA;2.5;1.5;NA;5.5;NA;NA;1;NA;NA;large;NA;NA
Areca kinabaluensis;Areca;kinabaluensis;Areceae;Arecoideae;0;0;1;1;0;0;5;2.5;understorey;6;1.5;NA;1.85;2;NA;NA;0.8;NA;NA;small;globose;cryptic
Areca klingkangensis;Areca;klingkangensis;Areceae;Arecoideae;0;0;1;1;0;0;4;10;understorey;NA;1.5;1.15;0.4;2.6;NA;NA;0.5;NA;NA;small;globose;conspicuous
Areca laosensis;Areca;laosensis;Areceae;Arecoideae;0;0;1;2;0;0;6;4;canopy;12;1.26;1.19;0.09;7.5;7;8;5.5;5;6;large;ovoid;conspicuous
Areca ledermanniana;Areca;ledermanniana;Areceae;Arecoideae;0;0;1;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ovoid;NA
Areca macrocalyx;Areca;macrocalyx;Areceae;Arecoideae;0;0;1;1;0;0;10;10;canopy;12;4;4;NA;3.75;3.5;4;2.5;NA;NA;small;ovoid;conspicuous
Areca mandacanii;Areca;mandacanii;Areceae;Arecoideae;0;0;1;NA;0;0;NA;NA;NA;NA;NA;NA;NA;4.49;NA;NA;2.29;NA;NA;large;NA;NA
Areca minuta;Areca;minuta;Areceae;Arecoideae;0;0;1;2;0;0;2;1.5;understorey;NA;0.3;0.3;NA;1.2;NA;NA;0.4;NA;NA;small;ovoid;conspicuous
Areca mogeana;Areca;mogeana;Areceae;Arecoideae;0;0;1;NA;0;0;NA;NA;NA;NA;NA;NA;NA;1.5;NA;NA;0.3;NA;NA;small;NA;NA
Areca montana;Areca;montana;Areceae;Arecoideae;0;0;1;1;0;0;4;8;understorey;8;1.75;1.35;0.45;2.5;NA;NA;1.35;1.2;1.5;small;ovoid;conspicuous
Areca novohibernica;Areca;novohibernica;Areceae;Arecoideae;0;0;1;1;0;0;4;NA;understorey;5;1.5;NA;0.17;3.2;NA;NA;1.35;NA;NA;small;NA;conspicuous
Areca oxycarpa;Areca;oxycarpa;Areceae;Arecoideae;0;0;1;1;0;0;2;2.5;understorey;8;1.5;1.1;0.45;2.5;NA;NA;1.3;NA;NA;small;globose;conspicuous
Areca parens;Areca;parens;Areceae;Arecoideae;0;0;1;1;0;0;25;15;canopy;NA;2.1;NA;NA;6;NA;NA;4;NA;NA;large;ovoid;conspicuous
Areca rheophytica;Areca;rheophytica;Areceae;Arecoideae;0;0;1;1;0;0;2;2;understorey;8;0.4;0.31;0.11;2;NA;NA;0.7;NA;NA;small;globose;conspicuous
Areca ridleyana;Areca;ridleyana;Areceae;Arecoideae;0;0;1;2;0;0;2.5;NA;understorey;10;0.3;NA;NA;0.5;NA;0.8;0.4;NA;NA;small;NA;conspicuous
Areca riparia;Areca;riparia;Areceae;Arecoideae;0;0;1;NA;0;0;NA;NA;NA;NA;NA;NA;NA;2.4;2;2.8;1.25;1;1.5;small;NA;conspicuous
Areca songthanhensis;Areca;songthanhensis;Areceae;Arecoideae;0;0;1;1;0;0;1.5;2;understorey;NA;NA;0.49;0.13;3;NA;NA;1.3;NA;NA;small;ellipsoid;conspicuous
Areca subacaulis;Areca;subacaulis;Areceae;Arecoideae;0;1;0;1;0;0;1.5;3.5;understorey;6;1;NA;NA;2.5;NA;NA;1.1;NA;NA;small;NA;cryptic
Areca triandra;Areca;triandra;Areceae;Arecoideae;0;0;1;0;0;0;6;7;canopy;7;2;1.8;0.22;2.5;NA;NA;1.5;NA;NA;small;NA;conspicuous
Areca triginticollina;Areca;triginticollina;Areceae;Arecoideae;0;0;1;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Areca tunku;Areca;tunku;Areceae;Arecoideae;0;0;1;1;0;0;5;6;understorey;10;2.5;2.5;NA;4.5;NA;NA;3;NA;NA;large;globose;cryptic
Areca vestiaria;Areca;vestiaria;Areceae;Arecoideae;0;0;1;2;0;0;15;12;canopy;NA;2.22;1.82;0.45;2;NA;NA;1.15;NA;NA;small;globose;conspicuous
Areca vidaliana;Areca;vidaliana;Areceae;Arecoideae;0;0;1;1;0;0;3;5;understorey;7;1.5;1.2;0.33;1.4;NA;NA;0.5;NA;NA;small;NA;conspicuous
Areca whitfordii;Areca;whitfordii;Areceae;Arecoideae;0;0;1;1;0;0;10;20;canopy;NA;NA;NA;NA;4.5;4;5;2;NA;NA;large;globose;cryptic
Arenga australasica;Arenga;australasica;Caryoteae;Coryphoideae;0;0;1;0;0;0;20;30;canopy;18;4;3.5;0.55;1.7;0.8;2.6;1.8;0.8;2.8;small;globose;conspicuous
Arenga brevipes;Arenga;brevipes;Caryoteae;Coryphoideae;0;0;1;0;0;0;15;35;canopy;10;5;5;NA;2.65;1.3;4;2.05;1.1;3;small;ovoid;cryptic
Arenga caudata;Arenga;caudata;Caryoteae;Coryphoideae;0;0;1;0;0;0;1.5;2;understorey;10;1;0.6;0.45;1.5;NA;NA;0.8;NA;NA;small;globose;conspicuous
Arenga distincta;Arenga;distincta;Caryoteae;Coryphoideae;0;0;1;0;0;0;5;1.5;understorey;9;NA;NA;NA;1;NA;NA;0.92;NA;NA;small;globose;cryptic
Arenga engleri;Arenga;engleri;Caryoteae;Coryphoideae;0;0;1;0;0;0;4;15;understorey;8;4.5;3;1.55;1.5;NA;NA;1.5;NA;NA;small;NA;conspicuous
Arenga hastata;Arenga;hastata;Caryoteae;Coryphoideae;0;0;1;0;0;0;2;1.2;understorey;6;1;NA;NA;0.7;NA;NA;0.7;NA;NA;small;globose;cryptic
Arenga hookeriana;Arenga;hookeriana;Caryoteae;Coryphoideae;0;0;1;0;0;0;0.5;2;understorey;10;1.3;0.8;0.55;1.2;NA;NA;1.2;NA;NA;small;globose;conspicuous
Arenga listeri;Arenga;listeri;Caryoteae;Coryphoideae;0;0;1;1;0;0;20;30;canopy;14;7;5.5;1.55;1.5;1.3;1.7;1;NA;NA;small;globose;conspicuous
Arenga longicarpa;Arenga;longicarpa;Caryoteae;Coryphoideae;0;0;1;0;0;0;3;7;understorey;NA;2.5;NA;NA;1.8;NA;NA;1;NA;NA;small;globose;cryptic
Arenga longipes;Arenga;longipes;Caryoteae;Coryphoideae;0;1;0;0;0;0;0.25;5;understorey;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;elongate;NA
Arenga micrantha;Arenga;micrantha;Caryoteae;Coryphoideae;0;0;1;1;0;0;2;15;understorey;NA;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;conspicuous
Arenga microcarpa;Arenga;microcarpa;Caryoteae;Coryphoideae;0;0;1;0;0;0;8;15;canopy;18;4;2.7;1.35;1.44;NA;NA;1.65;1.5;1.8;small;ovoid;conspicuous
Arenga mindorensis;Arenga;mindorensis;Caryoteae;Coryphoideae;0;1;0;0;0;0;0.3;3;understorey;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;globose;NA
Arenga obtusifolia;Arenga;obtusifolia;Caryoteae;Coryphoideae;0;0;1;0;0;0;20;30;canopy;15;11;10;NA;6;NA;NA;4;NA;NA;large;NA;cryptic
Arenga pinnata;Arenga;pinnata;Caryoteae;Coryphoideae;0;0;1;1;0;0;20;60;canopy;30;12;9;2.75;7;NA;NA;6;NA;NA;large;globose;conspicuous
Arenga plicata;Arenga;plicata;Caryoteae;Coryphoideae;0;0;1;0;0;0;1.5;3;understorey;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ovoid;NA
Arenga porphyrocarpa;Arenga;porphyrocarpa;Caryoteae;Coryphoideae;0;0;1;0;0;0;2.4;NA;understorey;NA;NA;NA;NA;1.5;NA;NA;NA;NA;NA;small;elongate;conspicuous
Arenga retroflorescens;Arenga;retroflorescens;Caryoteae;Coryphoideae;0;1;0;0;0;0;0.8;3;understorey;6;NA;NA;NA;2.45;2.1;2.8;1.935;1.73;2.14;small;NA;conspicuous
Arenga ryukyuensis;Arenga;ryukyuensis;Caryoteae;Coryphoideae;0;0;1;0;0;0;2;20;understorey;NA;3;2;NA;1.8;NA;NA;1.8;NA;NA;small;NA;conspicuous
Arenga talamauensis;Arenga;talamauensis;Caryoteae;Coryphoideae;0;0;1;0;0;0;2;NA;understorey;NA;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;ovoid;NA
Arenga tremula;Arenga;tremula;Caryoteae;Coryphoideae;0;0;1;0;0;0;4;12;understorey;6;10;8;2.1;1.3;NA;NA;1.1;NA;NA;small;globose;conspicuous
Arenga undulatifolia;Arenga;undulatifolia;Caryoteae;Coryphoideae;0;0;1;0;0;0;10;30;canopy;10;7;5;2.1;5;NA;NA;4.5;NA;NA;large;NA;cryptic
Arenga westerhoutii;Arenga;westerhoutii;Caryoteae;Coryphoideae;0;0;1;1;0;0;20;60;canopy;15;8;7;NA;7;NA;NA;6;5;7;large;ovoid;cryptic
Arenga wightii;Arenga;wightii;Caryoteae;Coryphoideae;0;0;1;0;0;0;7;30;canopy;6;10;NA;NA;2.5;NA;NA;3;NA;NA;small;NA;cryptic
Asterogyne guianensis;Asterogyne;guianensis;Geonomateae;Arecoideae;0;0;1;1;0;0;3;5;understorey;18;1.2;0.9;0.65;2.5;NA;NA;1.5;NA;NA;small;globose;conspicuous
Asterogyne martiana;Asterogyne;martiana;Geonomateae;Arecoideae;0;0;1;1;0;0;2;5;understorey;18;1;0.6;0.45;1;0.7;1.1;1;NA;NA;small;globose;cryptic
Asterogyne ramosa;Asterogyne;ramosa;Geonomateae;Arecoideae;0;0;1;1;0;0;3;8;understorey;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;globose;NA
Asterogyne spicata;Asterogyne;spicata;Geonomateae;Arecoideae;0;0;1;1;0;0;8;5;canopy;25;1.35;1;0.4;NA;NA;NA;NA;NA;NA;NA;globose;conspicuous
Asterogyne yaracuyense;Asterogyne;yaracuyense;Geonomateae;Arecoideae;0;0;1;0;0;0;8;8;canopy;31;1.2;1.2;NA;NA;NA;NA;NA;NA;NA;NA;ovoid;NA
Astrocaryum acaule;Astrocaryum;acaule;Cocoseae;Arecoideae;0;1;0;2;1;1;1;30;understorey;9;7;4;2.75;4;3.5;4.5;2.6;2.4;2.8;large;NA;conspicuous
Astrocaryum aculeatissimum;Astrocaryum;aculeatissimum;Cocoseae;Arecoideae;0;0;1;0;1;1;8;15;canopy;20;NA;NA;NA;5.5;5;6;3.5;3;4;large;NA;cryptic
Astrocaryum aculeatum;Astrocaryum;aculeatum;Cocoseae;Arecoideae;0;0;1;1;1;1;20;25;canopy;15;8.4;6.4;2.1;5.5;4.5;6.5;4;3.5;4.5;large;globose;conspicuous
Astrocaryum alatum;Astrocaryum;alatum;Cocoseae;Arecoideae;0;0;1;1;1;1;7;18;canopy;30;3;1.78;1.27;2.6;NA;NA;1.8;NA;NA;small;ovoid;cryptic
Astrocaryum campestre;Astrocaryum;campestre;Cocoseae;Arecoideae;0;1;0;2;1;1;0;NA;understorey;6;1.5;1.4;0.12;3.25;3;3.5;2.25;2;2.5;small;ovoid;cryptic
Astrocaryum carnosum;Astrocaryum;carnosum;Cocoseae;Arecoideae;0;0;1;0;1;1;4;18;understorey;8;3.5;NA;1.45;1.4;NA;NA;1;NA;NA;small;globose;NA
Astrocaryum chambira;Astrocaryum;chambira;Cocoseae;Arecoideae;0;0;1;1;1;1;30;40;canopy;16;9;5.5;3.25;7;6;8;4.75;4.5;5;large;NA;conspicuous
