SpecName;accGenus;accSpecies;PalmTribe;PalmSubfamily;Climbing;Acaulescent;Erect;StemSolitary;StemArmed;LeavesArmed;MaxStemHeight_m;MaxStemDia_cm;UnderstoreyCanopy;MaxLeafNumber;Max_Blade_Length_m;Max_Rachis_Length_m;Max_Petiole_length_m;AverageFruitLength_cm;MinFruitLength_cm;MaxFruitLength_cm;AverageFruitWidth_cm;MinFruitWidth_cm;MaxFruitWidth_cm;FruitSizeCategorical;FruitShape;Conspicuousness
Calamus symphysipus;Calamus;symphysipus;Calameae;Calamoideae;1;0;0;NA;0;1;NA;NA;canopy;NA;NA;NA;NA;0.75;NA;NA;0.65;NA;NA;small;globose;cryptic
Calamus tanakadatei;Calamus;tanakadatei;Calameae;Calamoideae;1;0;0;0;0;1;20;1;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calamus tapa;Calamus;tapa;Calameae;Calamoideae;1;0;0;NA;0;1;NA;NA;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ovoid;NA
Calamus temburongii;Calamus;temburongii;Calameae;Calamoideae;0;1;0;2;0;1;0;3;understorey;NA;3;3;NA;0.5;NA;NA;0.55;NA;NA;small;NA;NA
Calamus temii;Calamus;temii;Calameae;Calamoideae;0;0;1;2;0;1;5;5;understorey;NA;2;2;NA;2;NA;NA;1.5;NA;NA;small;NA;cryptic
Calamus tenompokensis;Calamus;tenompokensis;Calameae;Calamoideae;0;1;0;0;0;1;2;1;understorey;NA;0.7;NA;NA;0.8;NA;NA;0.7;NA;NA;small;NA;cryptic
Calamus tenuis;Calamus;tenuis;Calameae;Calamoideae;1;0;0;0;0;1;20;2.5;canopy;NA;1;1;NA;1.6;NA;NA;1.2;NA;NA;small;ovoid;cryptic
Calamus tetradactyloides;Calamus;tetradactyloides;Calameae;Calamoideae;1;0;0;0;0;1;5;1;canopy;NA;0.4;0.4;NA;1.5;NA;NA;1;NA;NA;small;globose;cryptic
Calamus tetradactylus;Calamus;tetradactylus;Calameae;Calamoideae;1;0;0;0;0;1;6;1.8;canopy;NA;0.6;0.6;NA;0.9;NA;NA;0.9;NA;NA;small;globose;cryptic
Calamus thwaitesii;Calamus;thwaitesii;Calameae;Calamoideae;1;0;0;0;0;1;50;6;canopy;NA;3;3;NA;2.5;NA;NA;1.5;NA;NA;small;globose;conspicuous
Calamus thysanolepis;Calamus;thysanolepis;Calameae;Calamoideae;0;0;1;0;0;1;5;5;understorey;NA;1.5;1.5;NA;1.5;NA;NA;1;NA;NA;small;globose;cryptic
Calamus timorensis;Calamus;timorensis;Calameae;Calamoideae;1;0;0;NA;0;1;NA;NA;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ovoid;NA
Calamus toli-toliensis;Calamus;toli-toliensis;Calameae;Calamoideae;1;0;0;NA;0;1;NA;NA;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ovoid;NA
Calamus tomentosus;Calamus;tomentosus;Calameae;Calamoideae;1;0;0;2;0;1;20;2.5;canopy;NA;1;1;NA;2.5;NA;NA;2.2;NA;NA;small;NA;cryptic
Calamus trachycoleus;Calamus;trachycoleus;Calameae;Calamoideae;1;0;0;NA;0;1;NA;1.65;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ovoid;cryptic
Calamus travancoricus;Calamus;travancoricus;Calameae;Calamoideae;1;0;0;0;0;1;15;1;canopy;NA;0.5;0.5;NA;1;NA;NA;1;NA;NA;small;globose;cryptic
Calamus trispermus;Calamus;trispermus;Calameae;Calamoideae;1;0;0;NA;0;1;NA;NA;canopy;NA;NA;NA;NA;1.6;NA;NA;1.72;NA;NA;small;ovoid;NA
Calamus tumidus;Calamus;tumidus;Calameae;Calamoideae;1;0;0;1;0;1;60;1.2;canopy;NA;4;4;NA;2.2;NA;NA;1.8;NA;NA;small;globose;cryptic
Calamus ulur;Calamus;ulur;Calameae;Calamoideae;1;0;0;0;0;1;10;1;canopy;NA;1.75;1.75;NA;NA;NA;NA;NA;NA;NA;NA;globose;NA
Calamus unifarius;Calamus;unifarius;Calameae;Calamoideae;1;0;0;1;0;1;20;5;canopy;NA;2;2;NA;1.5;NA;NA;1;NA;NA;small;ovoid;cryptic
Calamus usitatus;Calamus;usitatus;Calameae;Calamoideae;1;0;0;0;0;1;10;1;canopy;NA;0.7;NA;NA;0.8;NA;NA;0.6;NA;NA;small;NA;cryptic
Calamus vattayila;Calamus;vattayila;Calameae;Calamoideae;1;0;0;1;0;1;30;2.5;canopy;NA;0.8;0.8;NA;2.5;NA;NA;0.8;NA;NA;small;NA;conspicuous
Calamus vestitus;Calamus;vestitus;Calameae;Calamoideae;1;0;0;0;0;1;20;2;canopy;NA;0.8;NA;NA;1.31;NA;NA;1.16;NA;NA;small;globose;conspicuous
Calamus vidalianus;Calamus;vidalianus;Calameae;Calamoideae;1;0;0;NA;0;1;NA;NA;canopy;NA;NA;NA;NA;1.16;NA;NA;1.29;NA;NA;small;globose;NA
Calamus viminalis;Calamus;viminalis;Calameae;Calamoideae;1;0;0;0;0;1;35;4;canopy;NA;1.3;1.3;NA;1;NA;NA;0.9;0.8;1;small;globose;conspicuous
Calamus vinosus;Calamus;vinosus;Calameae;Calamoideae;1;0;0;NA;0;1;NA;NA;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calamus viridispinus;Calamus;viridispinus;Calameae;Calamoideae;2;0;2;0;0;1;15;1.5;canopy;NA;0.8;0.8;NA;0.95;0.8;1.1;0.6;NA;NA;small;globose;cryptic
Calamus viridissimus;Calamus;viridissimus;Calameae;Calamoideae;1;0;0;1;0;1;15;5;canopy;NA;3;3;NA;1.05;1;1.1;0.9;0.85;0.95;small;ovoid;NA
Calamus vitiensis;Calamus;vitiensis;Calameae;Calamoideae;0;0;1;1;0;1;15;2.2;canopy;NA;3;2.95;NA;1.1;NA;NA;1.1;0.9;1.3;small;NA;cryptic
Calamus wailong;Calamus;wailong;Calameae;Calamoideae;1;0;0;0;0;1;50;2;canopy;NA;2.8;NA;NA;1.85;1.7;2;1.05;1;1.1;small;NA;cryptic
Calamus walkeri;Calamus;walkeri;Calameae;Calamoideae;1;0;0;0;0;1;15;3;canopy;NA;1.5;1.5;NA;1.2;NA;NA;1;NA;NA;small;NA;cryptic
Calamus wanggaii;Calamus;wanggaii;Calameae;Calamoideae;1;0;0;0;0;1;25;1.5;canopy;NA;0.75;0.75;NA;NA;NA;NA;NA;NA;NA;NA;ovoid;NA
Calamus warburgii;Calamus;warburgii;Calameae;Calamoideae;1;0;0;0;0;1;40;3;canopy;NA;2.5;2.5;NA;1;NA;NA;0.85;0.8;0.9;small;ovoid;cryptic
