Sp;Lmx;Linf;K;Yrs;Mort;Life;Gen;AgeM;Lm;Lopt;Res;Anim;Plan;Both;Trop
sp93;30;31.5;0.49;0.33;1.45;5.8;1.6;1.5;18.5;19.4;4;1;0;0;3.5
sp94;30;31.5;0.24;0.69;0.61;11.8;3.3;3;18.5;19.4;3;1;0;0;3.7
sp95;12;12.8;0.66;0.31;1.5;4.2;1.7;1.2;8.2;7.6;4;1;0;0;3.2
sp96;19;20.1;0.36;0.51;1.44;7.8;3;2.2;12.4;12.1;4;1;0;0;3.4
sp97;12;12.8;0.66;0.31;1.5;4.2;1.7;1.2;8.2;7.6;4;1;0;0;3.2
sp98;27;28.6;0.72;0.23;1.41;3.9;1.1;1;17;17.5;4;1;0;0;3.4
sp99;18;20;0.72;0.25;1.5;3.9;1.5;1.1;12.3;12.1;4;1;0;0;3.2
sp100;12;12.8;0.66;0.31;1.5;4.2;1.7;1.2;8.2;7.6;4;1;0;0;2.9
sp101;20;22.5;0.62;0.28;1.31;4.6;1.7;1.2;13.7;13.6;4;1;0;0;3.5
sp102;18;19;1.02;0.18;1.88;2.8;1.1;0.8;11.8;11.4;4;1;0;0;3.8
sp103;30;31.5;0.28;0.59;0.64;10.1;2.8;2.6;18.5;19.4;3;1;0;0;3.5
sp104;37;38.7;0.19;0.83;0.59;15;4.3;3.7;22.3;24;3;1;0;0;3.6
sp105;24;25.3;0.78;0.22;1.44;3.6;1;1;15.2;15.4;4;1;0;0;3.5
sp106;18;19;0.4;0.47;0.94;7;2.7;2;11.8;11.4;4;0;1;0;2
sp107;30;31.5;0.63;0.25;1.16;4.5;1.3;1.2;18.5;19.4;4;1;0;0;3.6
sp108;19;20.1;0.97;0.18;1.79;2.9;1.1;0.8;12.4;12.1;4;1;0;0;3.2
sp110;15;15.9;0.54;0.36;1.23;5.2;2;1.5;10;9.5;4;1;0;0;4
sp112;14;14.9;0.57;0.35;1.3;4.9;1.9;1.4;9.4;8.9;4;1;0;0;3.5
sp113;17.5;18.5;0.47;0.4;1.06;6;2.3;1.7;11.5;11.1;4;1;0;0;3.3
sp114;50;52;0.26;0.55;0.53;11;3.3;2.6;29;32.7;3;1;0;0;3.7
sp115;50;40.8;0.46;0.33;0.82;6.2;1.8;1.5;23.4;25.6;4;1;0;0;3.6
sp116;45;38.6;0.55;0.28;0.95;5.2;1.6;1.3;22.2;24.5;4;1;0;0;3.4
sp117;25;26.3;0.57;0.3;1.13;5;1.4;1.3;15.7;16.1;4;1;0;0;4
sp118;40;35.7;0.37;0.42;0.77;7.7;2.2;1.9;20.7;22.1;4;1;0;0;3.9
sp119;35;36.6;0.42;0.37;0.83;6.8;1.9;1.7;21.2;22.7;4;1;0;0;4
sp120;35;30.3;0.3;0.55;0.66;9.4;2.6;2.4;17.9;18.6;3;1;0;0;3.8
sp121;40;41.7;0.72;0.2;1.2;4;1.2;1;23.8;26;3;1;0;0;3.6
sp122;40;44.6;0.22;0.69;0.51;13;3.8;3.1;25.3;27.8;3;1;0;0;4
sp127;7.5;8;0.89;0.26;2.1;3.1;1.3;1;5.4;4.6;4;1;0;0;3.4
sp128;10;10.7;0.68;0.32;1.6;4.1;1.7;1.2;7;6.3;4;1;0;0;3.4
sp129;18;19;0.4;0.47;0.94;7;2.7;2;11.8;11.4;4;1;0;0;3.4
sp130;13;13.8;0.53;0.38;1.25;5.3;2.1;1.5;8.8;8.2;4;0;0;1;3
sp131;32;26;0.52;0.33;1.11;5.4;1.5;1.4;15.6;15.9;4;1;0;0;3.6
sp132;14.5;15.4;0.88;0.22;1.78;3.2;1.2;0.9;9.7;9.2;4;1;0;0;3.5
sp133;12;12.8;1.05;0.19;2.12;2.7;1.1;0.8;8.2;7.6;4;1;0;0;3.5
sp134;13.25;14.1;0.97;0.21;1.95;2.95;1.15;0.85;8.95;8.4;4;1;0;0;3.5
sp136;40;41.7;0.18;0.86;0.85;15.8;4.6;3.8;23.8;26;3;1;0;0;3.7
sp137;60;32.8;0.22;0.73;0.57;12.6;3.5;3.3;19.2;20.2;3;1;0;0;3.4
sp138;18;19;1.02;0.18;1.88;2.8;1.1;0.8;11.8;11.4;4;1;0;0;2.8
sp141;20;21.1;0.47;0.38;1.03;6;2.2;1.6;12.9;12.8;4;1;0;0;3.4
sp142;72;74.4;0.16;0.83;0.34;17.9;5.5;4;40;47.4;3;1;0;0;3.8
sp143;10;10.7;0.68;0.32;1.6;4.1;1.7;1.2;7;6.3;4;0;0;1;2.2
sp144;120;79.5;0.25;0.51;0.45;11.5;3.6;2.5;42.5;50.8;3;1;0;0;4.4
sp145;125;67.5;0.21;0.66;0.42;13.9;4.2;3.1;36.7;42.9;3;1;0;0;4.1
sp146;60;62.2;0.25;0.55;0.49;11.4;3.5;2.6;34.1;39.4;3;1;0;0;3.3
sp148;84;83.7;0.18;0.71;0.38;16;5;3.5;44.5;53.6;3;1;0;0;3.8
sp149;70;72.4;0.22;0.6;0.43;13;4;2.9;39.1;46.1;3;1;0;0;4
sp150;9.25;9.25;0.67;0.34;1.64;4.22;1.78;1.37;9;7.5;4;0;0;1;3.12
sp151;9;9.6;0.75;0.29;1.77;3.7;1.6;1.2;6.4;5.6;4;0;0;1;2.4
