Species Name;Gram;Trait 1;Trait 2;Trait 3;Trait 4;Trait 5;Trait 6;Trait 7;Trait 8;Trait 9;Trait 10;Trait 11;Trait 12;Trait 13;Trait 14;Trait 15;Trait 16;Trait 17;Trait 18;Trait 19;Trait 20;Trait 21;Trait 22;Trait 23;Trait 24;Trait 25;Trait 26;Trait 27;Trait 28;Trait 29;Trait 30;Trait 31;Trait 32;Trait 33;Trait 34;Trait 35;Trait 36;Trait 37;Trait 38;Trait 39;Trait 40;Trait 41;Trait 42;Trait 43;Trait 44;Trait 45;Trait 46;Trait 47;Trait 48;Trait 49;Trait 50;Trait 51;Trait 52;Trait 53;Trait 54;Trait 55;Trait 56;Trait 57;Trait 58;Trait 59;Trait 60;Trait 61;Trait 62;Trait 63;Trait 64;Trait 65;Trait 66;Trait 67;Trait 68;Trait 69;Trait 70;Trait 71;Trait 72;Trait 73;Trait 74;Trait 75;Trait 76;Trait 77;Trait 78;Trait 79;Trait 80;Trait 81;Trait 82;Trait 83;Trait 84;Trait 85;Trait 86;Trait 87;Trait 88;Trait 89;Trait 90;Trait 91;Trait 92;Trait 93;Trait 94;Trait 95;Trait 96
Paenibacillus macerans;GP;0;100;100;100;67;0;71;0;0;0;0;96;0;0;79;83;100;0;29;0;92;0;100;0;88;71;100;100;0;100;0;88;25;33;100;0;33;0;38;100;58;0;0;92;0;0;21;33;0;100;100;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;8;0;17;0;0;0;0;0;0;0;0;0;4;75;100;17;0;4;0;4;0;0;0;0;0;0;0
Paenibacillus pabuli;GP;0;100;100;100;50;0;95;0;0;15;0;100;35;0;100;100;100;0;35;0;100;30;100;0;100;70;100;100;70;100;60;100;50;50;100;100;100;0;100;100;100;0;80;100;0;45;40;100;0;100;100;0;35;60;0;0;0;0;0;0;0;0;0;0;0;95;50;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;50;0;75;100;75;0;0;0;0;0;0;0
Paenibacillus polymyxa;GP;0;0;98;100;99;0;6;3;0;0;0;46;99;0;100;100;100;0;100;0;27;75;100;1;100;100;100;100;79;100;0;100;82;93;19;49;100;0;100;98;100;0;99;100;0;1;100;100;0;100;96;0;92;0;0;0;0;0;0;0;0;0;0;0;4;46;0;0;65;0;0;1;0;0;0;0;0;0;0;0;0;0;31;100;74;35;60;86;72;0;3;0;7;0;8;1
Paenibacillus popilliae;GP;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;88;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;25;0;0;44;0;0;12;0
Paenibacillus validus;GP;0;0;0;80;0;0;10;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;100;0;0;0;100;100;60;100;0;0;0;0;0;70;0;0;100;50;0;0;0;0;0;25;0;100;0;100;100;0;0;20;0;0;35;0;70;0;0;0;0;0;40;35;100;0;0;0;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pediococcus acidilactici/parvulus;GP;0;0;0;0;0;0;0;0;0;94;55;95;0;0;98;95;98;0;19;0;95;22;89;0;23;12;83;0;0;95;0;0;0;0;0;0;86;0;0;20;0;0;2;95;0;0;0;0;0;95;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
Pediococcus dextrinicus;GP;0;0;0;0;0;0;0;0;0;100;0;9;0;0;100;100;91;0;18;0;27;100;100;0;0;0;27;0;0;100;0;0;0;0;0;18;100;0;0;0;0;0;0;100;0;0;0;0;0;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;5;0;0;0
Pediococcus pentosaceus;GP;0;0;0;0;0;0;0;0;0;33;0;56;0;0;56;56;44;0;0;0;56;0;56;0;11;0;0;0;0;44;0;0;0;0;0;0;56;0;0;0;0;0;0;33;0;0;0;11;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
Pediococcus urinaeequi;GP;0;0;0;0;0;0;0;0;0;90;0;55;0;0;100;100;100;0;80;0;100;0;100;0;0;0;90;40;100;100;0;70;20;0;0;0;100;0;25;95;80;0;0;100;0;0;80;100;0;100;0;0;0;0;20;0;0;0;0;0;0;0;100;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;100;0;0;0;0;0;0;0;0;0;0;0;0
Pediococcus urinaeequi-like;GP;0;0;0;100;0;0;0;0;0;100;0;50;0;0;100;100;100;0;89;0;100;50;100;0;0;4;100;96;100;100;0;96;7;0;0;39;100;0;82;100;100;0;4;100;0;0;100;100;0;100;71;0;0;0;89;0;0;0;0;0;0;64;100;0;4;68;0;0;68;0;0;0;0;0;0;0;0;0;0;0;0;0;14;100;0;0;0;0;0;0;0;0;0;0;0;0
