Species Name;Gram;Trait 1;Trait 2;Trait 3;Trait 4;Trait 5;Trait 6;Trait 7;Trait 8;Trait 9;Trait 10;Trait 11;Trait 12;Trait 13;Trait 14;Trait 15;Trait 16;Trait 17;Trait 18;Trait 19;Trait 20;Trait 21;Trait 22;Trait 23;Trait 24;Trait 25;Trait 26;Trait 27;Trait 28;Trait 29;Trait 30;Trait 31;Trait 32;Trait 33;Trait 34;Trait 35;Trait 36;Trait 37;Trait 38;Trait 39;Trait 40;Trait 41;Trait 42;Trait 43;Trait 44;Trait 45;Trait 46;Trait 47;Trait 48;Trait 49;Trait 50;Trait 51;Trait 52;Trait 53;Trait 54;Trait 55;Trait 56;Trait 57;Trait 58;Trait 59;Trait 60;Trait 61;Trait 62;Trait 63;Trait 64;Trait 65;Trait 66;Trait 67;Trait 68;Trait 69;Trait 70;Trait 71;Trait 72;Trait 73;Trait 74;Trait 75;Trait 76;Trait 77;Trait 78;Trait 79;Trait 80;Trait 81;Trait 82;Trait 83;Trait 84;Trait 85;Trait 86;Trait 87;Trait 88;Trait 89;Trait 90;Trait 91;Trait 92;Trait 93;Trait 94;Trait 95;Trait 96
Actinomyces bovis;GP;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;100;0;100;0;0;0;100;0;100;0;0;0;0;86;0;0;0;0;32;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;27;91;73;0;0;0;0;0;0;0
Actinomyces canis;GP;0;0;45;100;100;0;69;6;56;52;24;0;98;24;0;2;100;56;87;10;10;98;100;5;98;97;100;98;13;100;0;45;76;97;79;66;2;2;11;56;29;0;98;0;2;0;0;95;6;3;63;0;97;40;0;2;3;0;2;0;0;0;8;0;0;85;6;0;79;0;3;0;0;0;0;0;0;0;0;2;0;2;2;97;100;100;100;94;100;71;65;66;0;0;0;2
Actinomyces hordeovulneris;GP;0;100;100;100;100;0;80;0;0;100;95;12;8;0;52;100;98;2;98;20;50;0;100;0;100;98;95;100;0;100;10;100;92;98;100;58;42;5;80;100;100;0;0;95;2;5;100;100;18;100;100;0;8;28;5;2;0;0;5;10;2;0;62;0;0;82;5;40;85;2;12;0;0;0;0;0;0;0;0;0;0;0;2;5;100;95;95;100;98;0;32;2;2;2;0;2
Actinomyces hyovaginalis;GP;0;0;0;86;0;0;4;0;29;29;11;0;100;0;68;0;100;36;100;0;4;68;100;100;11;0;54;54;0;100;0;4;7;14;89;0;11;0;0;0;0;0;100;71;0;0;0;100;4;0;89;0;93;21;0;0;0;0;0;0;0;0;0;0;0;89;18;0;89;0;36;0;0;0;0;0;0;0;0;0;0;0;0;89;100;100;100;100;100;93;96;100;46;0;57;89
Actinomyces naeslundii;GP;0;0;31;100;25;75;50;0;0;94;75;0;0;0;50;19;100;0;94;0;19;0;94;25;6;12;100;100;0;100;12;100;56;38;88;69;81;0;75;88;94;0;62;0;0;0;100;100;0;62;94;0;0;6;100;0;0;0;6;0;0;6;100;0;6;100;19;12;100;0;6;0;0;0;0;0;0;6;12;12;12;0;0;100;75;6;56;12;81;6;6;6;12;0;0;12
Actinomyces neuii ss anitratus;GP;2;0;0;100;5;0;48;0;0;0;0;0;0;100;0;0;38;0;20;0;0;92;0;80;0;0;100;100;100;0;95;100;62;40;0;82;0;0;62;0;100;0;100;5;0;12;88;100;0;82;85;2;8;0;0;0;0;0;0;0;0;18;0;0;0;100;0;0;100;0;0;0;30;0;25;8;58;0;60;0;10;8;0;100;42;0;78;0;100;0;0;0;0;0;0;100
Actinomyces neuii ss neuii;GP;0;0;0;46;18;0;25;0;0;0;0;0;0;100;0;0;50;0;57;0;0;0;0;100;0;0;68;75;100;32;50;100;64;54;0;32;0;79;4;0;100;0;100;0;0;0;89;50;0;29;29;0;86;18;0;0;0;0;0;0;0;7;50;0;0;100;0;0;100;0;0;0;57;0;36;39;75;0;54;0;43;11;0;100;43;0;61;0;100;0;0;0;0;0;0;86
Actinomyces odontolyticus;GP;0;0;29;100;8;25;67;0;0;83;71;0;0;0;42;42;100;0;83;0;50;0;100;71;96;33;100;100;0;100;0;100;42;21;100;83;83;0;58;100;83;0;33;67;0;46;83;100;0;100;100;0;0;12;83;0;0;0;0;0;0;0;100;0;0;100;0;21;100;0;8;0;0;0;0;0;0;0;0;0;0;0;0;100;83;21;8;12;42;0;0;0;0;0;0;0
Actinomyces radingae/turicensis (CDC.E);GP;0;0;0;84;0;0;0;0;0;30;0;0;0;43;0;0;100;75;0;0;0;0;100;0;2;0;52;34;0;100;0;2;0;0;98;0;0;0;0;34;0;0;100;0;2;0;0;100;0;0;20;0;100;0;0;0;0;0;0;0;0;0;45;0;0;32;2;0;86;0;25;0;0;0;0;0;0;0;0;0;0;0;0;100;2;0;0;0;4;0;0;0;0;0;0;64
Actinomyces viscosus;GP;0;0;27;100;41;27;36;0;0;100;55;0;0;0;100;45;100;0;100;0;32;55;100;64;5;14;100;100;0;100;0;36;36;50;86;41;100;0;41;100;86;0;68;100;0;0;73;100;0;36;100;0;0;0;86;0;0;0;0;0;18;27;100;0;0;91;0;5;91;0;5;0;0;0;0;0;0;0;0;0;0;0;0;100;73;0;55;0;55;0;0;5;0;0;0;0
Aerococcus christensenii;GP;0;0;12;100;0;0;88;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;100;0;0;0;100;100;100;0;0;0;0;0;100;0;0;0;0;100;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;100;0;100;100;0;0;100;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;12;100;0;0;0;0;0;0;0;0;100;50;100;0
Aerococcus urinae;GP;0;0;0;33;0;0;2;0;0;80;63;0;0;100;0;0;100;0;3;0;7;3;100;0;0;7;8;0;100;85;0;0;0;0;83;0;0;0;0;100;0;0;28;3;0;100;0;100;0;7;75;82;0;0;100;0;0;0;0;0;8;100;100;0;0;100;0;0;100;0;0;0;100;13;7;0;0;0;0;0;0;0;0;70;13;0;7;0;12;0;0;0;63;0;58;0
Aerococcus viridans;GP;0;0;8;100;0;0;48;58;78;28;0;0;0;0;10;92;100;0;100;0;0;0;100;0;100;100;100;100;92;100;0;0;36;94;16;72;0;0;100;92;0;0;92;84;0;2;0;100;0;20;100;0;0;0;92;0;0;0;0;46;0;14;100;0;0;98;0;0;66;0;0;0;0;0;0;0;4;0;0;0;0;0;0;100;92;0;68;0;36;0;0;0;0;0;0;0
Alloiococcus otitis;GP;0;0;0;0;0;0;0;0;0;93;0;0;0;0;0;0;64;0;0;0;0;0;100;0;0;0;14;0;0;79;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;86;7;0;0;0;0;0;0;0;0;0;0;7;36;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
Arcanobacterium bernardiae (CDC.2);GP;0;0;0;75;75;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;88;56;88;88;88;38;38;88;0;0;0;25
Arcanobacterium haemolyticum;GP;0;0;0;27;0;0;0;0;0;9;0;0;0;0;0;0;18;0;64;0;0;0;100;0;100;0;0;32;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91;0;0;82;0;5;0;0;0;0;0;0;0;0;0;0;0;0;45;100;100;100;100;100;73;100;86;0;0;0;27
Arcanobacterium pyogenes;GP;0;0;0;28;3;0;0;0;0;4;5;0;0;0;0;0;92;0;64;0;0;4;100;12;82;0;8;17;0;53;0;0;0;0;13;0;0;0;0;7;0;0;97;0;0;3;0;0;0;0;5;17;12;0;16;0;0;0;0;0;0;0;97;0;0;100;0;0;63;0;1;0;0;0;0;0;0;0;0;0;0;0;0;55;100;100;100;100;100;97;97;97;0;0;0;33
Arthrobacter cumminsii;GP;0;0;0;0;18;0;0;73;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;1;0;0;0;100;96;1;0;100;6;37;0;39;100;15;73;96;96;88;100;48;83;5;33;0;1;0;10;98;0;6;46;92;18;2;0;0;1;0;0;0;0;4;0;0;0;0
Arthrobacter histidinolovorans;GP;0;0;21;100;62;0;58;0;0;0;0;4;17;0;17;58;100;12;100;0;79;67;100;58;17;17;88;96;0;100;96;67;17;8;96;17;25;0;79;100;67;29;100;12;0;4;17;100;0;17;100;0;100;83;58;8;0;50;25;25;0;12;42;0;100;96;8;50;83;0;8;0;92;100;100;100;100;100;17;100;100;100;0;100;100;0;100;0;71;0;0;4;0;0;0;0
Arthrobacter ilicis;GP;0;0;12;100;96;0;75;0;0;0;0;17;4;0;4;100;100;12;100;0;100;62;100;42;42;38;96;83;100;100;4;96;8;12;100;0;50;0;71;100;96;67;100;4;0;100;62;100;0;17;100;8;100;100;67;8;0;88;0;17;0;12;71;0;100;96;50;79;96;0;100;0;96;100;100;100;100;100;8;100;100;88;0;100;25;0;8;0;100;0;0;0;0;0;0;0
Arthrobacter woluwensis;GP;0;0;54;100;96;0;93;82;71;100;14;79;7;46;89;93;100;0;100;0;96;100;100;4;61;61;100;100;4;100;100;75;54;57;100;43;89;25;100;100;39;18;100;96;0;50;7;96;21;82;100;0;18;89;11;0;0;93;86;93;0;32;0;11;100;100;89;82;100;21;96;0;100;100;100;100;100;100;14;82;100;100;0;100;100;100;50;100;29;0;0;0;0;0;0;0
Aureobacterium resistens;GP;0;0;25;100;14;0;100;11;7;0;0;0;0;0;93;100;100;4;71;0;100;0;100;0;0;0;100;100;0;100;0;32;0;0;100;68;43;32;18;0;0;54;100;96;0;7;0;100;0;100;100;50;14;14;57;0;0;100;0;39;0;7;54;0;0;100;39;21;75;0;0;0;75;0;100;7;100;100;0;79;82;100;7;100;100;100;100;100;93;100;93;43;0;0;0;0
Bacillus alcalophilus;GP;0;0;56;100;6;0;19;0;0;12;0;0;0;0;0;0;50;0;0;0;25;25;100;0;0;0;100;100;0;100;0;94;0;0;94;50;44;0;12;12;6;0;0;12;0;0;0;25;0;31;100;0;0;12;0;0;0;0;0;0;0;6;44;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;69;0;6;0;0;0;0;0;0;0;0
Bacillus amyloliquefaciens A;GP;0;1;6;100;68;0;4;11;4;50;1;20;2;0;39;83;99;0;69;0;100;0;100;0;0;0;100;10;46;54;4;12;9;0;100;100;91;0;100;100;64;1;1;15;0;97;10;100;0;100;100;0;3;5;0;0;0;0;2;23;0;2;0;0;59;98;28;0;100;2;43;21;0;15;52;15;61;69;4;3;37;0;4;100;57;43;30;100;74;2;74;0;0;12;0;58
Bacillus amyloliquefaciens B;GP;0;0;6;100;97;0;16;31;2;71;22;79;0;0;76;98;100;0;90;0;98;3;100;12;0;0;99;89;72;69;18;24;3;0;100;100;99;0;98;100;76;0;20;67;0;99;6;100;1;100;100;0;0;16;0;0;0;0;22;24;7;54;43;0;78;97;41;0;100;18;59;38;0;49;75;68;47;81;14;16;45;3;19;100;100;84;100;98;99;0;84;1;1;0;0;85
Bacillus badius;GP;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;35;100;0;0;0;0;0;85;0;0;90;0;0;0;25;40;100;100;35;95;100;30;45;0;0;100;100;100;100;100;100;15;15;15;0;0;0;0
Bacillus cereus/thuringiensis A;GP;0;50;7;100;96;0;6;84;49;100;24;4;0;0;0;90;100;0;0;0;2;0;100;1;1;0;100;100;0;25;0;1;0;0;93;16;94;0;51;100;0;0;23;20;0;0;0;100;0;100;32;0;1;0;72;39;0;0;13;100;4;31;90;21;100;98;0;0;100;0;1;46;46;68;100;100;91;90;100;34;100;0;4;100;100;100;100;100;100;100;100;100;3;1;26;83
Bacillus cereus/thuringiensis B;GP;0;0;100;100;95;40;98;100;100;100;98;19;52;0;0;64;100;0;43;0;60;5;100;14;0;0;100;100;0;0;57;0;0;0;100;0;93;36;100;60;0;0;52;38;0;0;19;55;0;100;55;0;0;0;17;0;0;0;0;100;0;0;40;2;0;12;0;0;57;0;0;52;0;21;40;100;0;10;57;0;55;0;0;100;100;100;100;100;100;100;100;100;7;0;0;55
Bacillus cereus/thuringiensis C;GP;0;42;50;100;94;10;99;100;99;99;87;63;36;0;0;81;92;1;0;0;29;0;100;23;0;0;100;100;0;100;24;3;1;0;96;72;24;1;83;85;0;1;22;0;0;0;0;87;0;99;100;0;0;0;86;50;0;0;85;100;26;53;91;0;79;92;15;0;100;8;13;81;90;29;99;100;26;31;95;32;100;1;27;100;100;99;100;99;100;100;100;100;4;0;31;88
Bacillus circulans;GP;0;99;100;100;85;0;7;0;0;84;46;82;7;0;100;80;100;0;35;0;41;43;100;34;3;15;100;100;100;100;66;16;6;10;69;81;100;0;47;100;10;0;4;100;0;100;1;100;1;100;43;3;61;3;7;0;0;0;0;0;0;0;46;0;20;73;0;0;99;0;0;0;0;0;0;1;0;0;0;0;0;0;4;100;0;8;0;12;5;0;27;0;0;0;0;4
Bacillus coagulans;GP;0;85;50;100;0;0;85;0;0;100;100;0;0;0;0;0;100;0;100;0;90;0;100;0;15;50;100;100;0;100;0;100;0;0;100;50;0;0;70;100;20;0;95;0;0;0;0;75;0;100;100;0;30;5;15;0;0;0;0;0;0;25;0;0;0;90;0;5;100;0;0;0;5;0;0;0;0;0;0;0;0;0;35;100;0;0;0;0;0;0;0;0;0;0;0;0
Bacillus fastidiosus;GP;0;0;0;58;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;100;0;33;0;100;83;0;50;0;0;0;0;25;0;0;0;0;0;0;0;17;0;0;0;0;100;0;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
Bacillus firmus;GP;0;60;65;100;0;0;30;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;100;100;95;65;0;0;0;0;85;0;0;0;0;0;0;0;0;0;0;0;0;95;0;0;100;0;0;0;0;0;0;0;0;65;0;0;25;0;0;15;0;0;30;0;0;0;0;0;65;0;0;0;0;0;20;0;0;100;0;0;0;35;55;0;0;0;0;0;0;0
Bacillus halodurans;GP;0;38;44;100;0;0;12;0;0;6;0;0;0;0;0;12;100;0;0;0;88;0;100;0;0;0;100;100;6;100;0;12;0;0;100;0;100;0;12;100;0;0;38;88;0;0;0;94;0;100;100;0;0;31;25;0;0;0;6;6;75;0;94;0;0;0;0;12;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;38;44;12;25;38;0;0;6;0;0;0;0
Bacillus laevolacticus;GP;0;91;91;73;0;0;0;0;0;23;0;0;0;0;0;0;100;0;91;0;0;0;100;0;0;0;100;95;0;100;18;91;0;0;0;0;0;0;73;23;91;0;0;0;0;0;9;100;82;100;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;91;5;0;0;0;0;0;0;0;0;0;0;0
Bacillus licheniformis;GP;0;93;99;100;47;0;12;18;5;76;7;25;4;0;91;77;100;1;36;0;37;58;100;15;1;7;100;100;16;100;30;5;0;0;99;98;92;0;100;95;63;3;56;98;0;39;1;100;63;100;100;0;1;2;0;1;1;0;8;37;0;1;14;0;88;79;12;0;98;1;13;26;3;7;26;16;21;28;5;3;24;0;9;99;32;23;29;88;48;0;57;0;3;1;1;79
Bacillus maroccanus;GP;0;0;27;100;30;20;5;0;0;98;77;2;7;0;0;27;98;0;0;0;89;34;100;0;0;0;48;0;48;100;0;5;0;0;100;0;48;0;18;93;0;5;14;0;0;23;0;91;0;98;100;0;7;16;7;11;75;0;5;23;0;5;5;5;39;18;86;5;48;0;0;0;0;48;73;43;95;98;82;57;43;2;0;80;48;52;48;91;100;0;0;5;0;0;0;2
Bacillus megaterium A;GP;0;0;9;100;15;0;6;2;1;93;3;13;53;0;3;28;95;1;47;0;49;33;100;20;3;1;100;95;86;24;80;73;3;3;100;53;40;0;68;94;8;6;37;0;0;61;1;100;1;97;66;0;59;1;0;3;0;0;15;56;1;4;20;0;91;63;5;0;95;7;1;44;6;10;53;23;10;13;8;11;19;0;0;100;34;15;8;11;23;0;48;1;4;0;1;20
Bacillus megaterium B;GP;0;0;0;99;5;0;0;0;0;49;2;4;20;0;0;0;100;0;21;0;4;0;100;7;1;0;100;84;73;0;3;52;0;0;76;52;1;0;0;100;5;0;0;0;0;1;0;100;0;90;1;0;0;0;0;1;0;0;0;25;1;1;0;0;19;32;1;0;83;0;0;21;3;15;100;91;30;99;26;21;69;0;15;100;29;8;26;44;61;0;50;1;3;2;5;32
Bacillus mycoides;GP;0;2;13;100;93;0;24;96;97;31;0;0;0;0;0;43;94;0;0;0;13;0;100;0;0;0;100;100;0;32;0;2;0;0;88;11;91;0;4;94;0;0;24;0;0;1;0;82;2;98;29;0;1;0;87;49;4;0;87;100;19;43;94;59;100;95;3;7;100;0;0;41;88;96;100;100;100;99;100;93;100;13;2;96;100;96;100;100;100;100;100;100;6;0;2;29
Bacillus psychrosaccharolyticus;GP;0;40;100;100;15;0;100;30;30;100;100;0;0;0;95;100;100;0;20;0;100;100;100;25;5;0;100;100;100;100;0;65;0;0;100;0;100;0;95;100;10;15;100;100;0;100;0;100;0;90;100;0;100;100;0;5;10;0;10;100;0;100;55;0;40;95;100;0;100;0;0;20;15;35;90;90;25;50;45;5;35;0;45;100;100;100;100;100;100;100;95;65;0;0;0;0
Bacillus pumilus A;GP;0;0;0;85;30;0;0;0;0;99;0;0;1;0;100;2;100;0;0;0;33;0;100;0;0;0;5;0;100;100;0;0;0;0;76;0;100;0;0;100;0;0;59;100;0;52;0;100;96;100;20;0;0;0;0;0;0;0;0;13;0;0;0;3;100;2;100;0;71;0;0;0;0;88;100;22;100;99;2;1;100;0;67;100;96;65;100;97;100;0;33;0;0;0;0;0
Bacillus pumilus B;GP;0;0;5;100;0;0;0;8;0;100;9;100;33;0;100;100;100;0;38;0;100;0;100;2;0;0;50;0;100;100;0;0;0;0;97;2;100;0;0;100;0;0;100;100;0;100;0;100;0;100;0;0;0;27;0;0;0;0;0;55;0;3;0;0;100;100;0;0;100;0;0;3;0;50;67;0;100;100;0;0;100;0;5;100;100;100;100;100;100;0;100;0;0;0;0;30
Bacillus pumilus C;GP;0;0;0;0;0;0;0;20;11;100;0;89;6;0;100;75;100;0;0;0;84;0;100;25;0;0;0;0;100;52;0;0;0;0;0;0;100;0;0;100;0;0;89;100;0;50;0;100;12;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;95;95;0;100;0;0;0;0;0;0;2;89;25;0;0;0;0;0;98;41;39;84;100;100;0;0;0;0;0;0;0
Bacillus racemilacticus;GP;0;25;0;25;12;0;0;0;0;100;0;0;25;0;0;25;100;0;75;0;0;0;100;0;0;0;62;25;50;100;0;100;0;0;0;25;0;0;50;100;75;0;0;0;0;0;25;25;0;100;25;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;25;0;0;25;0;0;0;0;0;0;100;0;0;25;25;0;0;0;0;0;0;0;0
Bacillus sphaericus;GP;0;0;0;0;5;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;5;0;0;0;0;0;0;0;0;0;0;100;100;100;9;0;0;100;0;9;95;0;0;100;27;36;100;5;0;5;9;0;82;32;100;100;14;9;23;0;9;5;100;100;100;100;100;5;100;100;0;0;0;0
Bacillus subtilis A;GP;0;91;89;100;69;0;6;3;0;54;0;25;0;0;100;82;100;0;43;0;100;53;100;5;0;0;100;100;97;100;2;1;0;0;100;100;100;0;100;100;2;0;2;100;0;90;0;100;0;100;100;0;0;0;0;0;0;0;1;25;0;0;69;0;99;98;29;0;100;0;31;3;0;25;80;0;70;98;0;0;64;0;25;100;56;11;91;76;91;0;68;0;0;0;0;26
Bacillus subtilis B;GP;0;0;0;98;12;0;21;24;14;97;8;21;6;0;96;85;97;0;32;0;65;29;100;4;0;0;91;1;0;66;16;0;0;0;100;94;99;0;93;99;6;6;12;97;0;38;0;93;0;100;97;0;5;6;0;0;5;0;14;64;7;7;24;0;96;100;8;0;100;6;9;23;5;44;92;35;77;90;6;6;88;5;25;100;86;67;86;88;86;6;75;5;5;5;8;46
Bacillus subtilis C;GP;0;0;0;100;22;0;0;0;0;100;5;2;42;0;100;48;100;0;86;0;86;78;100;7;0;0;100;59;100;6;11;0;0;0;100;100;100;0;100;100;16;4;11;100;0;100;0;100;0;100;100;0;0;5;1;0;0;0;0;23;0;2;96;0;99;100;29;0;97;0;35;1;0;44;100;8;11;54;2;0;80;0;2;100;100;100;100;100;100;0;92;0;0;0;0;100
Brevibacillus brevis;GP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;25;0;0;0;50;100;0;0;0;0;0;100;8;0;4;4;4;0;0;0;0;0;0;4
Brevibacterium casei;GP;0;0;3;42;55;0;48;100;99;53;12;1;27;0;0;5;76;18;0;0;19;17;78;58;1;0;10;14;0;86;12;23;1;1;0;2;5;0;16;81;3;26;99;0;6;0;0;20;12;11;58;8;69;100;93;92;18;78;19;90;1;33;55;8;27;98;99;100;84;49;69;9;99;100;100;82;100;100;71;100;100;42;6;94;100;100;100;100;91;0;53;8;6;0;0;14
Brevibacterium epidermidis;GP;0;0;19;16;69;0;50;100;100;0;0;6;38;56;0;6;75;3;6;3;16;0;50;0;0;0;9;9;0;75;3;38;9;3;12;3;3;0;16;59;6;28;100;12;16;9;0;31;38;0;44;16;75;100;100;100;84;25;22;100;100;88;100;31;56;94;100;100;100;91;56;53;100;100;100;100;100;100;94;81;100;100;0;56;100;100;100;100;100;9;41;25;19;0;3;6
Brevibacterium linens;GP;0;0;3;0;56;0;22;88;62;0;0;0;16;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;3;6;3;22;6;6;0;6;0;0;6;6;6;19;100;3;6;6;3;6;6;0;3;12;66;97;100;88;41;59;12;97;0;75;78;3;28;91;100;100;100;66;9;19;91;91;100;97;100;100;31;75;100;34;28;50;100;97;100;100;88;6;38;9;3;0;0;3
Brevibacterium liquifaciens;GP;0;0;58;100;100;3;100;100;100;0;0;0;56;0;0;14;100;0;0;0;11;69;78;3;0;0;100;100;0;97;0;67;0;3;0;22;6;8;0;97;0;28;100;0;3;3;0;100;0;22;78;0;92;100;100;100;8;100;22;100;0;92;100;22;67;100;56;100;97;39;6;50;97;89;100;89;100;100;44;100;100;44;64;100;100;100;92;100;86;17;25;31;6;6;6;19
Brevibacterium mcbrellneri;GP;15;30;70;10;95;0;90;100;100;20;15;30;5;0;0;0;60;50;40;40;35;25;25;20;10;10;15;0;50;55;60;55;45;35;25;0;20;35;10;20;40;55;75;45;60;45;10;0;15;10;10;10;70;100;90;65;70;10;75;45;15;45;60;10;65;25;95;100;90;70;50;20;65;35;50;75;65;95;85;65;100;55;100;15;95;80;60;75;50;75;80;75;65;45;40;40
Brevibacterium otitidis;GP;0;0;11;0;25;6;17;64;28;11;8;11;25;6;0;6;6;11;0;3;6;0;6;11;17;11;8;11;8;31;6;6;11;6;11;25;14;11;6;11;8;6;36;6;3;11;14;11;11;31;8;3;17;44;69;83;17;6;94;97;14;22;61;6;17;78;75;61;92;42;17;36;83;22;28;89;36;36;67;11;25;0;28;22;72;33;50;92;50;3;22;22;6;0;6;0
Brochothrix campestris;GP;0;0;0;0;0;0;0;0;0;100;69;12;0;0;56;100;100;0;0;0;31;31;100;0;0;0;31;0;50;100;0;0;0;0;25;0;38;0;0;100;0;0;25;100;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;38;0;0;50;0;0;50;0;0;50;0;0;0;0;0;6;0;0;0;0;0;0;0;0;100;0;0;0;0;6;0;0;0;0;0;0;0
Brochothrix thermosphacta;GP;0;14;4;61;0;0;7;7;0;100;100;57;0;7;82;100;100;0;0;0;100;86;100;68;0;0;96;54;82;100;0;0;0;0;29;0;93;0;36;100;0;0;82;79;0;7;0;93;21;100;32;7;0;4;7;0;0;0;0;43;0;0;29;0;0;39;0;7;36;0;0;18;0;0;7;0;0;0;0;0;0;0;4;100;68;68;100;100;100;0;0;0;0;0;0;46
CLavibacter agropyri (corynebacterium);GP;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;85;50;0;65;0;0;0;100;0;0;0;60;65;0;0;0;0;0;0;0;0;0;0;85;85;0;0;100;30;0;0;0;80;0;20;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;100;20;0;0;0;0;0;0;0;30;0;0;0
Carnobacterium alterfunditum (26C);GP;0;29;0;57;0;0;0;0;0;32;7;0;0;0;29;0;100;0;0;0;0;0;100;0;0;0;79;100;0;100;0;0;0;0;0;0;29;0;0;86;0;0;0;64;0;0;0;50;0;100;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;21;0;0;0;0;0;0;0;0;0;0;0
Carnobacterium divergens (26C);GP;0;47;43;53;0;0;0;0;0;100;0;7;0;0;93;83;100;0;0;0;30;7;100;17;0;0;60;53;0;100;0;0;0;0;0;0;60;0;0;100;0;0;17;100;0;0;0;53;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;83;53;90;60;93;3;7;27;0;0;0;0
Carnobacterium gallinarum (26C);GP;0;62;23;100;0;0;0;0;0;100;35;69;0;0;100;100;100;0;62;0;100;31;100;0;92;46;100;100;0;100;15;0;0;0;0;0;54;0;77;100;0;0;4;100;0;0;0;100;54;100;50;0;0;0;0;0;0;0;0;0;0;0;0;0;4;46;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;8;23;8;54;0;0;0;0;0;0;0
Carnobacterium mobile (26C);GP;0;6;6;38;0;0;0;0;0;88;100;0;0;0;44;22;100;0;53;0;6;0;100;0;0;0;56;25;0;100;0;0;0;0;0;0;41;0;0;81;0;0;6;69;0;0;0;62;0;100;0;0;0;0;0;0;0;0;0;12;0;0;56;0;0;6;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;56;41;47;34;59;0;0;0;0;0;0;0
Carnobacterium pisicicola (26C);GP;0;75;65;100;0;0;0;0;0;100;0;100;0;0;100;100;100;0;100;0;100;15;100;0;50;20;100;100;35;100;0;50;0;0;0;30;100;0;100;100;40;0;75;100;0;0;75;100;0;100;100;0;0;0;0;0;0;0;0;10;0;0;10;0;60;100;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;100;100;100;100;85;40;75;0;0;5;0
